NTASData [id=16594474132, subwayLine=YUS, stationId=DUP1, trainId=192, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594474133, subwayLine=YUS, stationId=DUP1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=3.4536303703703704, timeString=03.45, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594474134, subwayLine=YUS, stationId=DUP1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=10.502666666666665, timeString=10.50, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594474135, subwayLine=YUS, stationId=SPA1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=1.0006311111111112, timeString=01.00, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594474136, subwayLine=YUS, stationId=SPA1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=4.454261481481482, timeString=04.45, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594474137, subwayLine=YUS, stationId=SPA1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=11.503297777777778, timeString=11.50, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594474138, subwayLine=YUS, stationId=SGU1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=2.130237777777778, timeString=02.13, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594474139, subwayLine=YUS, stationId=SGU1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=5.583868148148149, timeString=05.58, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594474140, subwayLine=YUS, stationId=SGU1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=12.632904444444442, timeString=12.63, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594474141, subwayLine=YUS, stationId=MUS1, trainId=109, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594474142, subwayLine=YUS, stationId=MUS1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=3.3322344444444445, timeString=03.33, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594474143, subwayLine=YUS, stationId=MUS1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=6.785864814814815, timeString=06.79, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594474144, subwayLine=YUS, stationId=QPK1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=1.2625333333333333, timeString=01.26, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594474145, subwayLine=YUS, stationId=QPK1, trainId=192, trainMessage=Arriving, trainDirection=North, timeInt=4.594767777777777, timeString=04.59, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594474146, subwayLine=YUS, stationId=QPK1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=8.048398148148149, timeString=08.05, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
NTASData [id=16594474147, subwayLine=YUS, stationId=STP1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=2.4133066666666663, timeString=02.41, trainDestination=FIN1, createDate=Sun Sep 17 11:59:44 EDT 2017, systemMessageType=Normal]
