NTASData [id=16595160746, subwayLine=YUS, stationId=LWW1, trainId=104, trainMessage=Delayed, trainDirection=North, timeInt=1.5437407407407409, timeString=01.54, trainDestination=FIN1, createDate=Sun Sep 17 12:53:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160747, subwayLine=YUS, stationId=GCN1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=0.7222037037037037, timeString=00.72, trainDestination=FIN1, createDate=Sun Sep 17 12:53:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160748, subwayLine=YUS, stationId=GCN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=1.6364518518518518, timeString=01.64, trainDestination=FIN1, createDate=Sun Sep 17 12:53:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160749, subwayLine=YUS, stationId=GCN1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=1.845711111111111, timeString=01.85, trainDestination=FIN1, createDate=Sun Sep 17 12:53:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160750, subwayLine=YUS, stationId=EGW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=2.5424081481481484, timeString=02.54, trainDestination=FIN1, createDate=Sun Sep 17 12:53:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160751, subwayLine=YUS, stationId=EGW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=3.4566562962962957, timeString=03.46, trainDestination=FIN1, createDate=Sun Sep 17 12:53:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160752, subwayLine=YUS, stationId=EGW1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=3.6659155555555554, timeString=03.67, trainDestination=FIN1, createDate=Sun Sep 17 12:53:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160753, subwayLine=YUS, stationId=SCW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=7.241843703703704, timeString=07.24, trainDestination=FIN1, createDate=Sun Sep 17 12:53:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160754, subwayLine=YUS, stationId=SCW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=8.156091851851851, timeString=08.16, trainDestination=FIN1, createDate=Sun Sep 17 12:53:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160755, subwayLine=YUS, stationId=SCW1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=8.36535111111111, timeString=08.37, trainDestination=FIN1, createDate=Sun Sep 17 12:53:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160756, subwayLine=YUS, stationId=DUP1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=9.866381481481481, timeString=09.87, trainDestination=FIN1, createDate=Sun Sep 17 12:53:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160757, subwayLine=YUS, stationId=DUP1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=10.78062962962963, timeString=10.78, trainDestination=FIN1, createDate=Sun Sep 17 12:53:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160758, subwayLine=YUS, stationId=DUP1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=10.989888888888888, timeString=10.99, trainDestination=FIN1, createDate=Sun Sep 17 12:53:51 EDT 2017, systemMessageType=Normal]
