NTASData [id=16593613992, subwayLine=YUS, stationId=QUN2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=7.892853333333333, timeString=07.89, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593613993, subwayLine=YUS, stationId=QUN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=10.907293333333334, timeString=10.91, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593613994, subwayLine=YUS, stationId=KNG2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=2.4493022222222223, timeString=02.45, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593613995, subwayLine=YUS, stationId=KNG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=8.718506666666666, timeString=08.72, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593613996, subwayLine=YUS, stationId=KNG2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=11.732946666666665, timeString=11.73, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593613997, subwayLine=YUS, stationId=UNI2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=3.256328888888889, timeString=03.26, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593613998, subwayLine=YUS, stationId=UNI2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=9.525533333333334, timeString=09.53, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593613999, subwayLine=YUS, stationId=UNI2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=12.539973333333332, timeString=12.54, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614000, subwayLine=YUS, stationId=STA2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=4.183017777777778, timeString=04.18, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614001, subwayLine=YUS, stationId=STA2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=10.452222222222222, timeString=10.45, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614002, subwayLine=YUS, stationId=STA2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=13.466662222222219, timeString=13.47, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614003, subwayLine=YUS, stationId=OSG2, trainId=126, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614004, subwayLine=YUS, stationId=OSG2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=4.878284444444445, timeString=04.88, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614005, subwayLine=YUS, stationId=OSG2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=11.147488888888887, timeString=11.15, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614006, subwayLine=YUS, stationId=STP2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=0.7539688888888889, timeString=00.75, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614007, subwayLine=YUS, stationId=STP2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=5.632253333333333, timeString=05.63, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614008, subwayLine=YUS, stationId=STP2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=11.901457777777775, timeString=11.90, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614009, subwayLine=YUS, stationId=QPK2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=1.8962755555555555, timeString=01.90, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614010, subwayLine=YUS, stationId=QPK2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=6.774559999999999, timeString=06.77, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614011, subwayLine=YUS, stationId=QPK2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=13.043764444444442, timeString=13.04, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614012, subwayLine=YUS, stationId=MUS2, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614013, subwayLine=YUS, stationId=MUS2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=3.1588088888888888, timeString=03.16, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614014, subwayLine=YUS, stationId=MUS2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=8.037093333333331, timeString=08.04, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614015, subwayLine=YUS, stationId=MUS1, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614016, subwayLine=YUS, stationId=MUS1, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=3.1588088888888888, timeString=03.16, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614017, subwayLine=YUS, stationId=MUS1, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=8.037093333333331, timeString=08.04, trainDestination=MUS2, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614018, subwayLine=YUS, stationId=STA1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=0.5788377777777778, timeString=00.58, trainDestination=FIN1, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614019, subwayLine=YUS, stationId=UNI1, trainId=4, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
NTASData [id=16593614020, subwayLine=YUS, stationId=UNI1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=1.4857711111111112, timeString=01.49, trainDestination=FIN1, createDate=Sun Sep 17 10:55:19 EDT 2017, systemMessageType=Normal]
