NTASData [id=16593023234, subwayLine=YUS, stationId=UNI1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.4919177777777777, timeString=02.49, trainDestination=FIN1, createDate=Sun Sep 17 10:12:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593023235, subwayLine=YUS, stationId=UNI1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=4.312686666666666, timeString=04.31, trainDestination=FIN1, createDate=Sun Sep 17 10:12:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593023236, subwayLine=YUS, stationId=KNG1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=3.286808888888889, timeString=03.29, trainDestination=FIN1, createDate=Sun Sep 17 10:12:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593023237, subwayLine=YUS, stationId=KNG1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=5.107577777777777, timeString=05.11, trainDestination=FIN1, createDate=Sun Sep 17 10:12:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593023238, subwayLine=YUS, stationId=QUN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=4.112462222222222, timeString=04.11, trainDestination=FIN1, createDate=Sun Sep 17 10:12:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593023239, subwayLine=YUS, stationId=QUN1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=5.9332311111111125, timeString=05.93, trainDestination=FIN1, createDate=Sun Sep 17 10:12:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593023240, subwayLine=YUS, stationId=DUN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=4.8669955555555555, timeString=04.87, trainDestination=FIN1, createDate=Sun Sep 17 10:12:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593023241, subwayLine=YUS, stationId=DUN1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=6.6877644444444435, timeString=06.69, trainDestination=FIN1, createDate=Sun Sep 17 10:12:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593023242, subwayLine=YUS, stationId=COL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=5.733853333333334, timeString=05.73, trainDestination=FIN1, createDate=Sun Sep 17 10:12:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593023243, subwayLine=YUS, stationId=COL1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=7.554622222222223, timeString=07.55, trainDestination=FIN1, createDate=Sun Sep 17 10:12:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593023244, subwayLine=YUS, stationId=WEL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=6.651511111111111, timeString=06.65, trainDestination=FIN1, createDate=Sun Sep 17 10:12:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593023245, subwayLine=YUS, stationId=WEL1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=8.47228, timeString=08.47, trainDestination=FIN1, createDate=Sun Sep 17 10:12:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593023246, subwayLine=YUS, stationId=BLO1, trainId=101, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:12:46 EDT 2017, systemMessageType=Normal]
NTASData [id=16593023247, subwayLine=YUS, stationId=BLO1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=7.6058577777777785, timeString=07.61, trainDestination=FIN1, createDate=Sun Sep 17 10:12:46 EDT 2017, systemMessageType=Normal]
