NTASData [id=16594309387, subwayLine=YUS, stationId=SPA1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=15.022762222222221, timeString=15.02, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309388, subwayLine=YUS, stationId=SGU1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=13.120126666666666, timeString=13.12, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309389, subwayLine=YUS, stationId=SGU1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=15.243895555555554, timeString=15.24, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309390, subwayLine=YUS, stationId=SGU1, trainId=123, trainMessage=Delayed, trainDirection=North, timeInt=16.152368888888887, timeString=16.15, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309391, subwayLine=YUS, stationId=MUS1, trainId=107, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309392, subwayLine=YUS, stationId=MUS1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=14.322123333333332, timeString=14.32, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309393, subwayLine=YUS, stationId=MUS1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=16.44589222222222, timeString=16.45, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309394, subwayLine=YUS, stationId=QPK1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=1.2625333333333333, timeString=01.26, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309395, subwayLine=YUS, stationId=QPK1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=15.584656666666666, timeString=15.58, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309396, subwayLine=YUS, stationId=QPK1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=17.708425555555554, timeString=17.71, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309397, subwayLine=YUS, stationId=STP1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=2.4133066666666663, timeString=02.41, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309398, subwayLine=YUS, stationId=STP1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=16.735429999999997, timeString=16.74, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309399, subwayLine=YUS, stationId=STP1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=18.85919888888889, timeString=18.86, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309400, subwayLine=YUS, stationId=OSG1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=3.1644533333333333, timeString=03.16, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309401, subwayLine=YUS, stationId=OSG1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=17.486576666666668, timeString=17.49, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309402, subwayLine=YUS, stationId=OSG1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=19.610345555555558, timeString=19.61, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309403, subwayLine=YUS, stationId=STA1, trainId=121, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309404, subwayLine=YUS, stationId=STA1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=3.998291111111111, timeString=04.00, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16594309405, subwayLine=YUS, stationId=STA1, trainId=120, trainMessage=Arriving, trainDirection=North, timeInt=18.320414444444445, timeString=18.32, trainDestination=FIN1, createDate=Sun Sep 17 11:46:58 EDT 2017, systemMessageType=Normal]
