NTASData [id=16594658368, subwayLine=YUS, stationId=GCN1, trainId=532, trainMessage=Arriving, trainDirection=North, timeInt=2.3739703703703707, timeString=02.37, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658369, subwayLine=YUS, stationId=GCN1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=3.96948, timeString=03.97, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658370, subwayLine=YUS, stationId=EGW1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=3.1786933333333334, timeString=03.18, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658371, subwayLine=YUS, stationId=EGW1, trainId=532, trainMessage=Arriving, trainDirection=North, timeInt=4.194174814814815, timeString=04.19, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658372, subwayLine=YUS, stationId=EGW1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=5.789684444444444, timeString=05.79, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658373, subwayLine=YUS, stationId=SCW1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=0.7879259259259259, timeString=00.79, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658374, subwayLine=YUS, stationId=SCW1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=0.8290925925925926, timeString=00.83, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658375, subwayLine=YUS, stationId=SCW1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=7.878128888888888, timeString=07.88, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658376, subwayLine=YUS, stationId=DUP1, trainId=123, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658377, subwayLine=YUS, stationId=DUP1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=3.412463703703704, timeString=03.41, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658378, subwayLine=YUS, stationId=DUP1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=3.4536303703703704, timeString=03.45, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658379, subwayLine=YUS, stationId=SPA1, trainId=122, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658380, subwayLine=YUS, stationId=SPA1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=1.0006311111111112, timeString=01.00, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658381, subwayLine=YUS, stationId=SPA1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=4.413094814814815, timeString=04.41, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658382, subwayLine=YUS, stationId=SGU1, trainId=114, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658383, subwayLine=YUS, stationId=SGU1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=1.1296066666666666, timeString=01.13, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658384, subwayLine=YUS, stationId=SGU1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=2.130237777777778, timeString=02.13, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658385, subwayLine=YUS, stationId=MUS1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=1.2019966666666666, timeString=01.20, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658386, subwayLine=YUS, stationId=MUS1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=2.3316033333333333, timeString=02.33, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658387, subwayLine=YUS, stationId=MUS1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=3.3322344444444445, timeString=03.33, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658388, subwayLine=YUS, stationId=QPK1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=0.20997333333333332, timeString=00.21, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658389, subwayLine=YUS, stationId=QPK1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=2.46453, timeString=02.46, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658390, subwayLine=YUS, stationId=QPK1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=3.5941366666666665, timeString=03.59, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658391, subwayLine=YUS, stationId=STP1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=1.3607466666666665, timeString=01.36, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658392, subwayLine=YUS, stationId=STP1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=3.6153033333333333, timeString=03.62, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658393, subwayLine=YUS, stationId=STP1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=4.74491, timeString=04.74, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658394, subwayLine=YUS, stationId=OSG1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=2.111893333333333, timeString=02.11, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
NTASData [id=16594658395, subwayLine=YUS, stationId=OSG1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=4.36645, timeString=04.37, trainDestination=FIN1, createDate=Sun Sep 17 12:13:51 EDT 2017, systemMessageType=Normal]
