NTASData [id=16594397708, subwayLine=BD, stationId=DNW1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=3.734252136222911, timeString=03.73, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397709, subwayLine=BD, stationId=DNW1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=7.898624842105264, timeString=07.90, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397710, subwayLine=BD, stationId=LAN1, trainId=213, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397711, subwayLine=BD, stationId=LAN1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=5.155607554179568, timeString=05.16, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397712, subwayLine=BD, stationId=LAN1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=9.31998026006192, timeString=09.32, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397713, subwayLine=BD, stationId=DUF1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=0.8795097213622292, timeString=00.88, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397714, subwayLine=BD, stationId=DUF1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=6.035117275541797, timeString=06.04, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397715, subwayLine=BD, stationId=DUF1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=10.199489981424149, timeString=10.20, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397716, subwayLine=BD, stationId=OSS1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=2.1293089783281736, timeString=02.13, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397717, subwayLine=BD, stationId=OSS1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=7.28491653250774, timeString=07.28, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397718, subwayLine=BD, stationId=OSS1, trainId=215, trainMessage=Arriving, trainDirection=East, timeInt=11.449289238390094, timeString=11.45, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397719, subwayLine=BD, stationId=CHR1, trainId=212, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397720, subwayLine=BD, stationId=CHR1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=3.3627849213622296, timeString=03.36, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397721, subwayLine=BD, stationId=CHR1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=8.518392475541797, timeString=08.52, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397722, subwayLine=BD, stationId=BAT1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=0.983405944272446, timeString=00.98, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397723, subwayLine=BD, stationId=BAT1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=4.346190865634675, timeString=04.35, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397724, subwayLine=BD, stationId=BAT1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=9.501798419814243, timeString=09.50, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397725, subwayLine=BD, stationId=BSP1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=1.9175531888544894, timeString=01.92, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397726, subwayLine=BD, stationId=BSP1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=5.280338110216718, timeString=05.28, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397727, subwayLine=BD, stationId=BSP1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=10.435945664396286, timeString=10.44, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397728, subwayLine=BD, stationId=SGL1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=2.8282034674922603, timeString=02.83, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397729, subwayLine=BD, stationId=SGL1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=6.190988388854489, timeString=06.19, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397730, subwayLine=BD, stationId=SGL1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=11.346595943034055, timeString=11.35, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397731, subwayLine=BD, stationId=BAU1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=3.9198936222910223, timeString=03.92, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397732, subwayLine=BD, stationId=BAU1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=7.282678543653251, timeString=07.28, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397733, subwayLine=BD, stationId=BAU1, trainId=214, trainMessage=Arriving, trainDirection=East, timeInt=12.438286097832819, timeString=12.44, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397734, subwayLine=BD, stationId=YNG1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=0.3538699690402477, timeString=00.35, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397735, subwayLine=BD, stationId=YNG1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=4.720136470588236, timeString=04.72, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397736, subwayLine=BD, stationId=YNG1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=8.082921391950464, timeString=08.08, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397737, subwayLine=BD, stationId=SHE1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=1.673310835913313, timeString=01.67, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397738, subwayLine=BD, stationId=SHE1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=6.039577337461301, timeString=06.04, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397739, subwayLine=BD, stationId=SHE1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=9.40236225882353, timeString=09.40, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397740, subwayLine=BD, stationId=CFK1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=2.7113543034055727, timeString=02.71, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397741, subwayLine=BD, stationId=CFK1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=7.077620804953561, timeString=07.08, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397742, subwayLine=BD, stationId=CFK1, trainId=213, trainMessage=Arriving, trainDirection=East, timeInt=10.44040572631579, timeString=10.44, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397743, subwayLine=BD, stationId=BRD1, trainId=210, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397744, subwayLine=BD, stationId=BRD1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=4.2858646439628485, timeString=04.29, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397745, subwayLine=BD, stationId=BRD1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=8.652131145510836, timeString=08.65, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397746, subwayLine=BD, stationId=CHE1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=1.0384681114551084, timeString=01.04, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397747, subwayLine=BD, stationId=CHE1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=5.324332755417958, timeString=05.32, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397748, subwayLine=BD, stationId=CHE1, trainId=212, trainMessage=Arriving, trainDirection=East, timeInt=9.690599256965944, timeString=09.69, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397749, subwayLine=BD, stationId=PAP1, trainId=210, trainMessage=Arriving, trainDirection=East, timeInt=2.007577708978328, timeString=02.01, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16594397750, subwayLine=BD, stationId=PAP1, trainId=211, trainMessage=Arriving, trainDirection=East, timeInt=6.293442352941177, timeString=06.29, trainDestination=KEN1, createDate=Sun Sep 17 11:53:52 EDT 2017, systemMessageType=Normal]
