NTASData [id=16594872861, subwayLine=YUS, stationId=OSG2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=14.161928888888886, timeString=14.16, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872862, subwayLine=YUS, stationId=STP2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=5.632253333333333, timeString=05.63, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872863, subwayLine=YUS, stationId=STP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=12.208515555555554, timeString=12.21, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872864, subwayLine=YUS, stationId=STP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=14.915897777777774, timeString=14.92, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872865, subwayLine=YUS, stationId=QPK2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=0.8873066666666667, timeString=00.89, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872866, subwayLine=YUS, stationId=QPK2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=6.774559999999999, timeString=06.77, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872867, subwayLine=YUS, stationId=QPK2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=13.35082222222222, timeString=13.35, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872868, subwayLine=YUS, stationId=MUS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=2.14984, timeString=02.15, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872869, subwayLine=YUS, stationId=MUS2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=8.037093333333331, timeString=08.04, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872870, subwayLine=YUS, stationId=MUS2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=14.613355555555552, timeString=14.61, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872871, subwayLine=YUS, stationId=SGU2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=3.309362222222222, timeString=03.31, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872872, subwayLine=YUS, stationId=SGU2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=9.196615555555553, timeString=09.20, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872873, subwayLine=YUS, stationId=SGU2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=15.772877777777776, timeString=15.77, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872874, subwayLine=YUS, stationId=SPA2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=0.6282266666666666, timeString=00.63, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872875, subwayLine=YUS, stationId=SPA2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=4.477068888888889, timeString=04.48, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872876, subwayLine=YUS, stationId=SPA2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=10.36432222222222, timeString=10.36, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594872877, subwayLine=YUS, stationId=DUP2, trainId=532, trainMessage=Arriving, trainDirection=South, timeInt=0.5057422222222222, timeString=00.51, trainDestination=SHW2, createDate=Sun Sep 17 12:30:40 EDT 2017, systemMessageType=Normal]
