NTASData [id=16593877797, subwayLine=YUS, stationId=GCN2, trainId=126, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877798, subwayLine=YUS, stationId=GCN2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=4.157658518518518, timeString=04.16, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877799, subwayLine=YUS, stationId=GCN2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=9.25734888888889, timeString=09.26, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877800, subwayLine=YUS, stationId=LWW2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=1.3641333333333332, timeString=01.36, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877801, subwayLine=YUS, stationId=LWW2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=5.521791851851852, timeString=05.52, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877802, subwayLine=YUS, stationId=LWW2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=10.621482222222221, timeString=10.62, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877803, subwayLine=YUS, stationId=YKD2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=3.3903600000000003, timeString=03.39, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877804, subwayLine=YUS, stationId=YKD2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=7.548018518518518, timeString=07.55, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877805, subwayLine=YUS, stationId=YKD2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=12.64770888888889, timeString=12.65, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877806, subwayLine=YUS, stationId=WIL2, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=5.409813333333333, timeString=05.41, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877807, subwayLine=YUS, stationId=WIL2, trainId=128, trainMessage=Arriving, trainDirection=South, timeInt=9.56747185185185, timeString=09.57, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877808, subwayLine=YUS, stationId=WIL2, trainId=192, trainMessage=Arriving, trainDirection=South, timeInt=14.667162222222222, timeString=14.67, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877809, subwayLine=YUS, stationId=SHW2, trainId=123, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877810, subwayLine=YUS, stationId=SHW2, trainId=124, trainMessage=Delayed, trainDirection=South, timeInt=1.7228703703703705, timeString=01.72, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877811, subwayLine=YUS, stationId=SHW2, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=2.607962962962963, timeString=02.61, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877812, subwayLine=YUS, stationId=SHW1, trainId=124, trainMessage=Delayed, trainDirection=South, timeInt=1.7228703703703705, timeString=01.72, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877813, subwayLine=YUS, stationId=SHW1, trainId=125, trainMessage=Arriving, trainDirection=South, timeInt=2.607962962962963, timeString=02.61, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877814, subwayLine=YUS, stationId=SHW1, trainId=126, trainMessage=Arriving, trainDirection=South, timeInt=9.26109111111111, timeString=09.26, trainDestination=SHW2, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877815, subwayLine=YUS, stationId=WIL1, trainId=121, trainMessage=Delayed, trainDirection=North, timeInt=0.7051095407407407, timeString=00.71, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877816, subwayLine=YUS, stationId=WIL1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=2.400053985185185, timeString=02.40, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877817, subwayLine=YUS, stationId=WIL1, trainId=122, trainMessage=Arriving, trainDirection=North, timeInt=3.142905837037037, timeString=03.14, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877818, subwayLine=YUS, stationId=YKD1, trainId=534, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877819, subwayLine=YUS, stationId=YKD1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=1.7605022222222222, timeString=01.76, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877820, subwayLine=YUS, stationId=YKD1, trainId=121, trainMessage=Delayed, trainDirection=North, timeInt=2.7206117629629625, timeString=02.72, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877821, subwayLine=YUS, stationId=LWW1, trainId=118, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877822, subwayLine=YUS, stationId=LWW1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=2.0183244444444446, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877823, subwayLine=YUS, stationId=LWW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=3.7788266666666663, timeString=03.78, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877824, subwayLine=YUS, stationId=GCN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=1.358488888888889, timeString=01.36, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877825, subwayLine=YUS, stationId=GCN1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=3.3768133333333337, timeString=03.38, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877826, subwayLine=YUS, stationId=GCN1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=5.137315555555555, timeString=05.14, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877827, subwayLine=YUS, stationId=EGW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=3.1786933333333334, timeString=03.18, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877828, subwayLine=YUS, stationId=EGW1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=5.197017777777778, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877829, subwayLine=YUS, stationId=EGW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=6.95752, timeString=06.96, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877830, subwayLine=YUS, stationId=SCW1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=7.878128888888888, timeString=07.88, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877831, subwayLine=YUS, stationId=SCW1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=9.896453333333332, timeString=09.90, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877832, subwayLine=YUS, stationId=SCW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=11.656955555555554, timeString=11.66, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877833, subwayLine=YUS, stationId=DUP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=10.502666666666665, timeString=10.50, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877834, subwayLine=YUS, stationId=DUP1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=12.52099111111111, timeString=12.52, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877835, subwayLine=YUS, stationId=DUP1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=14.281493333333332, timeString=14.28, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877836, subwayLine=YUS, stationId=SPA1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=11.503297777777778, timeString=11.50, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877837, subwayLine=YUS, stationId=SPA1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=13.521622222222222, timeString=13.52, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877838, subwayLine=YUS, stationId=SPA1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=15.282124444444444, timeString=15.28, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877839, subwayLine=YUS, stationId=SGU1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=12.632904444444442, timeString=12.63, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877840, subwayLine=YUS, stationId=SGU1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=14.651228888888888, timeString=14.65, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877841, subwayLine=YUS, stationId=SGU1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=16.41173111111111, timeString=16.41, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877842, subwayLine=YUS, stationId=MUS1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=13.83490111111111, timeString=13.83, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877843, subwayLine=YUS, stationId=MUS1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=15.853225555555554, timeString=15.85, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877844, subwayLine=YUS, stationId=MUS1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=17.61372777777778, timeString=17.61, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877845, subwayLine=YUS, stationId=QPK1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=15.097434444444442, timeString=15.10, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877846, subwayLine=YUS, stationId=QPK1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=17.115758888888887, timeString=17.12, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877847, subwayLine=YUS, stationId=QPK1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=18.87626111111111, timeString=18.88, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877848, subwayLine=YUS, stationId=STP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=16.248207777777775, timeString=16.25, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877849, subwayLine=YUS, stationId=STP1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=18.266532222222224, timeString=18.27, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877850, subwayLine=YUS, stationId=STP1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=20.027034444444446, timeString=20.03, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877851, subwayLine=YUS, stationId=OSG1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=16.999354444444442, timeString=17.00, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877852, subwayLine=YUS, stationId=OSG1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=19.01767888888889, timeString=19.02, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877853, subwayLine=YUS, stationId=OSG1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=20.778181111111113, timeString=20.78, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877854, subwayLine=YUS, stationId=STA1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=17.83319222222222, timeString=17.83, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877855, subwayLine=YUS, stationId=STA1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=19.85151666666667, timeString=19.85, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877856, subwayLine=YUS, stationId=STA1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=21.61201888888889, timeString=21.61, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877857, subwayLine=YUS, stationId=UNI1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=0.06773333333333334, timeString=00.07, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877858, subwayLine=YUS, stationId=UNI1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=18.740125555555554, timeString=18.74, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877859, subwayLine=YUS, stationId=UNI1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=20.75845, timeString=20.76, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877860, subwayLine=YUS, stationId=KNG1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=0.8626244444444445, timeString=00.86, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877861, subwayLine=YUS, stationId=KNG1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=19.535016666666664, timeString=19.54, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877862, subwayLine=YUS, stationId=KNG1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=21.553341111111113, timeString=21.55, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877863, subwayLine=YUS, stationId=QUN1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=1.6882777777777778, timeString=01.69, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877864, subwayLine=YUS, stationId=QUN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=20.36067, timeString=20.36, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16593877865, subwayLine=YUS, stationId=QUN1, trainId=534, trainMessage=Arriving, trainDirection=North, timeInt=22.378994444444444, timeString=22.38, trainDestination=FIN1, createDate=Sun Sep 17 11:15:13 EDT 2017, systemMessageType=Normal]
