NTASData [id=16594876975, subwayLine=YUS, stationId=OSG1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=0.93064, timeString=00.93, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876976, subwayLine=YUS, stationId=OSG1, trainId=125, trainMessage=Delayed, trainDirection=North, timeInt=4.36645, timeString=04.37, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876977, subwayLine=YUS, stationId=OSG1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=5.747798888888887, timeString=05.75, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876978, subwayLine=YUS, stationId=STA1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=1.764477777777778, timeString=01.76, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876979, subwayLine=YUS, stationId=STA1, trainId=125, trainMessage=Delayed, trainDirection=North, timeInt=5.200287777777778, timeString=05.20, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876980, subwayLine=YUS, stationId=STA1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=6.581636666666666, timeString=06.58, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876981, subwayLine=YUS, stationId=UNI1, trainId=123, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876982, subwayLine=YUS, stationId=UNI1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=2.671411111111111, timeString=02.67, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876983, subwayLine=YUS, stationId=UNI1, trainId=125, trainMessage=Delayed, trainDirection=North, timeInt=6.1072211111111105, timeString=06.11, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876984, subwayLine=YUS, stationId=KNG1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=0.7948911111111111, timeString=00.79, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876985, subwayLine=YUS, stationId=KNG1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=3.4663022222222226, timeString=03.47, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876986, subwayLine=YUS, stationId=KNG1, trainId=125, trainMessage=Delayed, trainDirection=North, timeInt=6.902112222222222, timeString=06.90, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876987, subwayLine=YUS, stationId=QUN1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=1.6205444444444443, timeString=01.62, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876988, subwayLine=YUS, stationId=QUN1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=4.291955555555556, timeString=04.29, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876989, subwayLine=YUS, stationId=QUN1, trainId=125, trainMessage=Delayed, trainDirection=North, timeInt=7.727765555555553, timeString=07.73, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876990, subwayLine=YUS, stationId=DUN1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=2.375077777777778, timeString=02.38, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876991, subwayLine=YUS, stationId=DUN1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=5.04648888888889, timeString=05.05, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876992, subwayLine=YUS, stationId=DUN1, trainId=125, trainMessage=Delayed, trainDirection=North, timeInt=8.482298888888888, timeString=08.48, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876993, subwayLine=YUS, stationId=COL1, trainId=123, trainMessage=Arriving, trainDirection=North, timeInt=3.2419355555555556, timeString=03.24, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
NTASData [id=16594876994, subwayLine=YUS, stationId=COL1, trainId=124, trainMessage=Arriving, trainDirection=North, timeInt=5.913346666666667, timeString=05.91, trainDestination=FIN1, createDate=Sun Sep 17 12:31:01 EDT 2017, systemMessageType=Normal]
