NTASData [id=16594150978, subwayLine=YUS, stationId=QUN1, trainId=94, trainMessage=Arriving, trainDirection=North, timeInt=6.0743422222222225, timeString=06.07, trainDestination=FIN1, createDate=Sun Sep 17 11:35:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594150979, subwayLine=YUS, stationId=QUN1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=7.727765555555553, timeString=07.73, trainDestination=FIN1, createDate=Sun Sep 17 11:35:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594150980, subwayLine=YUS, stationId=DUN1, trainId=3, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:35:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594150981, subwayLine=YUS, stationId=DUN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=4.8669955555555555, timeString=04.87, trainDestination=FIN1, createDate=Sun Sep 17 11:35:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594150982, subwayLine=YUS, stationId=DUN1, trainId=94, trainMessage=Arriving, trainDirection=North, timeInt=6.828875555555555, timeString=06.83, trainDestination=FIN1, createDate=Sun Sep 17 11:35:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594150983, subwayLine=YUS, stationId=COL1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=0.8668577777777778, timeString=00.87, trainDestination=FIN1, createDate=Sun Sep 17 11:35:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594150984, subwayLine=YUS, stationId=COL1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=5.733853333333334, timeString=05.73, trainDestination=FIN1, createDate=Sun Sep 17 11:35:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594150985, subwayLine=YUS, stationId=COL1, trainId=94, trainMessage=Arriving, trainDirection=North, timeInt=7.695733333333333, timeString=07.70, trainDestination=FIN1, createDate=Sun Sep 17 11:35:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594150986, subwayLine=YUS, stationId=WEL1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=1.7845155555555554, timeString=01.78, trainDestination=FIN1, createDate=Sun Sep 17 11:35:11 EDT 2017, systemMessageType=Normal]
NTASData [id=16594150987, subwayLine=YUS, stationId=WEL1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=6.651511111111111, timeString=06.65, trainDestination=FIN1, createDate=Sun Sep 17 11:35:11 EDT 2017, systemMessageType=Normal]
