NTASData [id=16592898537, subwayLine=YUS, stationId=QPK2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=10.750119999999999, timeString=10.75, trainDestination=MUS2, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898538, subwayLine=YUS, stationId=MUS2, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898539, subwayLine=YUS, stationId=MUS2, trainId=116, trainMessage=Arriving, trainDirection=South, timeInt=3.5990755555555554, timeString=03.60, trainDestination=MUS2, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898540, subwayLine=YUS, stationId=MUS2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=8.037093333333331, timeString=08.04, trainDestination=MUS2, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898541, subwayLine=YUS, stationId=MUS1, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898542, subwayLine=YUS, stationId=MUS1, trainId=116, trainMessage=Arriving, trainDirection=South, timeInt=3.5990755555555554, timeString=03.60, trainDestination=MUS2, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898543, subwayLine=YUS, stationId=MUS1, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=8.037093333333331, timeString=08.04, trainDestination=MUS2, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898544, subwayLine=YUS, stationId=QUN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=0.4069644444444444, timeString=00.41, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898545, subwayLine=YUS, stationId=DUN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=1.1614977777777777, timeString=01.16, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898546, subwayLine=YUS, stationId=COL1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=0.6118577777777778, timeString=00.61, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898547, subwayLine=YUS, stationId=COL1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=2.0283555555555557, timeString=02.03, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898548, subwayLine=YUS, stationId=WEL1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=1.5295155555555553, timeString=01.53, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898549, subwayLine=YUS, stationId=WEL1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=2.9460133333333336, timeString=02.95, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898550, subwayLine=YUS, stationId=BLO1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=2.483862222222222, timeString=02.48, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898551, subwayLine=YUS, stationId=BLO1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=3.90036, timeString=03.90, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898552, subwayLine=YUS, stationId=ROS1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=3.8124355555555556, timeString=03.81, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898553, subwayLine=YUS, stationId=ROS1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=5.228933333333334, timeString=05.23, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898554, subwayLine=YUS, stationId=SUM1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=4.841853333333333, timeString=04.84, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898555, subwayLine=YUS, stationId=SUM1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=6.2583511111111125, timeString=06.26, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898556, subwayLine=YUS, stationId=STC1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=6.250013333333333, timeString=06.25, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898557, subwayLine=YUS, stationId=STC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=7.666511111111111, timeString=07.67, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898558, subwayLine=YUS, stationId=DAV1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=8.28244888888889, timeString=08.28, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898559, subwayLine=YUS, stationId=DAV1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=9.698946666666668, timeString=09.70, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898560, subwayLine=YUS, stationId=EGL1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=1.3591822222222223, timeString=01.36, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898561, subwayLine=YUS, stationId=EGL1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=9.896631111111112, timeString=09.90, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898562, subwayLine=YUS, stationId=EGL1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=11.313128888888889, timeString=11.31, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898563, subwayLine=YUS, stationId=LAW1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=5.651088888888888, timeString=05.65, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898564, subwayLine=YUS, stationId=LAW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=14.188537777777777, timeString=14.19, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898565, subwayLine=YUS, stationId=LAW1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=15.605035555555554, timeString=15.61, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898566, subwayLine=YUS, stationId=YKM1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=9.165755555555556, timeString=09.17, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898567, subwayLine=YUS, stationId=YKM1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=17.703204444444445, timeString=17.70, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898568, subwayLine=YUS, stationId=YKM1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=19.11970222222222, timeString=19.12, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898569, subwayLine=YUS, stationId=SHP1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=2.5862844444444444, timeString=02.59, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898570, subwayLine=YUS, stationId=SHP1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=12.752106666666666, timeString=12.75, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898571, subwayLine=YUS, stationId=SHP1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=21.28955555555556, timeString=21.29, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898572, subwayLine=YUS, stationId=NYC1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=4.047502222222223, timeString=04.05, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898573, subwayLine=YUS, stationId=NYC1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=14.213324444444446, timeString=14.21, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898574, subwayLine=YUS, stationId=NYC1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=22.75077333333333, timeString=22.75, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898575, subwayLine=YUS, stationId=FIN1, trainId=124, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898576, subwayLine=YUS, stationId=FIN1, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=6.654542222222222, timeString=06.65, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898577, subwayLine=YUS, stationId=FIN1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=16.820364444444447, timeString=16.82, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898578, subwayLine=YUS, stationId=FIN2, trainId=125, trainMessage=Arriving, trainDirection=North, timeInt=6.654542222222222, timeString=06.65, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898579, subwayLine=YUS, stationId=FIN2, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=16.820364444444447, timeString=16.82, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898580, subwayLine=YUS, stationId=FIN2, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=25.357813333333333, timeString=25.36, trainDestination=FIN1, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898581, subwayLine=YUS, stationId=NYC2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=1.0329333333333333, timeString=01.03, trainDestination=MUS2, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898582, subwayLine=YUS, stationId=SHP2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=2.493586666666667, timeString=02.49, trainDestination=MUS2, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898583, subwayLine=YUS, stationId=YKM2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=6.074293333333333, timeString=06.07, trainDestination=MUS2, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898584, subwayLine=YUS, stationId=LAW2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=2.8786666666666667, timeString=02.88, trainDestination=MUS2, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898585, subwayLine=YUS, stationId=LAW2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=9.587266666666666, timeString=09.59, trainDestination=MUS2, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898586, subwayLine=YUS, stationId=EGL2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=3.0649333333333333, timeString=03.06, trainDestination=MUS2, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898587, subwayLine=YUS, stationId=EGL2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=7.161542222222222, timeString=07.16, trainDestination=MUS2, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16592898588, subwayLine=YUS, stationId=EGL2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=13.87014222222222, timeString=13.87, trainDestination=MUS2, createDate=Sun Sep 17 10:04:13 EDT 2017, systemMessageType=Normal]
