NTASData [id=16594241983, subwayLine=YUS, stationId=UNI2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=1.6326800000000001, timeString=01.63, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241984, subwayLine=YUS, stationId=UNI2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=3.256328888888889, timeString=03.26, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241985, subwayLine=YUS, stationId=UNI2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=8.179462222222222, timeString=08.18, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241986, subwayLine=YUS, stationId=STA2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=0.5353191111111111, timeString=00.54, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241987, subwayLine=YUS, stationId=STA2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=2.559368888888889, timeString=02.56, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241988, subwayLine=YUS, stationId=STA2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=4.183017777777778, timeString=04.18, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241989, subwayLine=YUS, stationId=OSG2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=1.2305857777777778, timeString=01.23, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241990, subwayLine=YUS, stationId=OSG2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=3.2546355555555553, timeString=03.25, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241991, subwayLine=YUS, stationId=OSG2, trainId=110, trainMessage=Arriving, trainDirection=South, timeInt=4.878284444444445, timeString=04.88, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241992, subwayLine=YUS, stationId=STP2, trainId=108, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241993, subwayLine=YUS, stationId=STP2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=1.9845546666666667, timeString=01.98, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241994, subwayLine=YUS, stationId=STP2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=4.008604444444444, timeString=04.01, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241995, subwayLine=YUS, stationId=QPK2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=1.1423066666666668, timeString=01.14, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241996, subwayLine=YUS, stationId=QPK2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=3.1268613333333333, timeString=03.13, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241997, subwayLine=YUS, stationId=QPK2, trainId=109, trainMessage=Arriving, trainDirection=South, timeInt=5.15091111111111, timeString=05.15, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241998, subwayLine=YUS, stationId=MUS2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=0.42672, timeString=00.43, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594241999, subwayLine=YUS, stationId=MUS2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=2.40484, timeString=02.40, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594242000, subwayLine=YUS, stationId=MUS2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=4.389394666666666, timeString=04.39, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594242001, subwayLine=YUS, stationId=SGU2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=0.3654777777777778, timeString=00.37, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594242002, subwayLine=YUS, stationId=SGU2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=1.5862422222222223, timeString=01.59, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594242003, subwayLine=YUS, stationId=SGU2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=3.5643622222222224, timeString=03.56, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594242004, subwayLine=YUS, stationId=SPA2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=1.5331844444444447, timeString=01.53, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594242005, subwayLine=YUS, stationId=SPA2, trainId=93, trainMessage=Arriving, trainDirection=South, timeInt=2.753948888888889, timeString=02.75, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594242006, subwayLine=YUS, stationId=SPA2, trainId=108, trainMessage=Arriving, trainDirection=South, timeInt=4.7320688888888895, timeString=04.73, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
NTASData [id=16594242007, subwayLine=YUS, stationId=DUP2, trainId=107, trainMessage=Arriving, trainDirection=South, timeInt=2.530993333333333, timeString=02.53, trainDestination=SHW2, createDate=Sun Sep 17 11:41:57 EDT 2017, systemMessageType=Normal]
