NTASData [id=16595218985, subwayLine=YUS, stationId=GCN2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=12.159182222222224, timeString=12.16, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218986, subwayLine=YUS, stationId=GCN2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=13.844920000000002, timeString=13.84, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218987, subwayLine=YUS, stationId=GCN2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=17.915177777777778, timeString=17.92, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218988, subwayLine=YUS, stationId=LWW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=13.523315555555556, timeString=13.52, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218989, subwayLine=YUS, stationId=LWW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=15.209053333333333, timeString=15.21, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218990, subwayLine=YUS, stationId=LWW2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=19.27931111111111, timeString=19.28, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218991, subwayLine=YUS, stationId=YKD2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=15.549542222222223, timeString=15.55, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218992, subwayLine=YUS, stationId=YKD2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=17.23528, timeString=17.24, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218993, subwayLine=YUS, stationId=YKD2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=21.305537777777776, timeString=21.31, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218994, subwayLine=YUS, stationId=WIL2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=17.568995555555556, timeString=17.57, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218995, subwayLine=YUS, stationId=WIL2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=19.254733333333334, timeString=19.25, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218996, subwayLine=YUS, stationId=WIL2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=23.32499111111111, timeString=23.32, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
NTASData [id=16595218997, subwayLine=YUS, stationId=SHW2, trainId=532, trainMessage=Arriving, trainDirection=South, timeInt=0.5888703703703704, timeString=00.59, trainDestination=SHW2, createDate=Sun Sep 17 12:58:26 EDT 2017, systemMessageType=Normal]
