NTASData [id=16595006197, subwayLine=BD, stationId=DNW1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=9.560764710835914, timeString=09.56, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006198, subwayLine=BD, stationId=LAN1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=0.39067244582043353, timeString=00.39, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006199, subwayLine=BD, stationId=LAN1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=5.588359385758515, timeString=05.59, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006200, subwayLine=BD, stationId=LAN1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=10.982120128792571, timeString=10.98, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006201, subwayLine=BD, stationId=DUF1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=1.2701821671826625, timeString=01.27, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006202, subwayLine=BD, stationId=DUF1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=6.467869107120745, timeString=06.47, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006203, subwayLine=BD, stationId=DUF1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=11.8616298501548, timeString=11.86, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006204, subwayLine=BD, stationId=OSS1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=2.5199814241486074, timeString=02.52, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006205, subwayLine=BD, stationId=OSS1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=7.717668364086688, timeString=07.72, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006206, subwayLine=BD, stationId=OSS1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=13.111429107120745, timeString=13.11, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006207, subwayLine=BD, stationId=CHR1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=0.5661919504643964, timeString=00.57, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006208, subwayLine=BD, stationId=CHR1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=3.753457367182663, timeString=03.75, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006209, subwayLine=BD, stationId=CHR1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=8.951144307120744, timeString=08.95, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006210, subwayLine=BD, stationId=BAT1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=1.5495978947368423, timeString=01.55, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006211, subwayLine=BD, stationId=BAT1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=4.736863311455108, timeString=04.74, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006212, subwayLine=BD, stationId=BAT1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=9.934550251393189, timeString=09.93, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006213, subwayLine=BD, stationId=BSP1, trainId=222, trainMessage=Arriving, trainDirection=East, timeInt=2.4837451393188856, timeString=02.48, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006214, subwayLine=BD, stationId=BSP1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=5.671010556037151, timeString=05.67, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006215, subwayLine=BD, stationId=BSP1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=10.868697495975233, timeString=10.87, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16595006216, subwayLine=BD, stationId=SGL1, trainId=221, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 12:41:17 EDT 2017, systemMessageType=Normal]
