NTASData [id=16594510647, subwayLine=YUS, stationId=MUS2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=2.14984, timeString=02.15, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510648, subwayLine=YUS, stationId=MUS2, trainId=114, trainMessage=Arriving, trainDirection=South, timeInt=3.8540755555555553, timeString=03.85, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510649, subwayLine=YUS, stationId=SGU2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=0.28363333333333335, timeString=00.28, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510650, subwayLine=YUS, stationId=SGU2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=2.1670555555555557, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510651, subwayLine=YUS, stationId=SGU2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=3.309362222222222, timeString=03.31, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510652, subwayLine=YUS, stationId=SPA2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=1.45134, timeString=01.45, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510653, subwayLine=YUS, stationId=SPA2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=3.3347622222222224, timeString=03.33, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510654, subwayLine=YUS, stationId=SPA2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=4.477068888888889, timeString=04.48, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510655, subwayLine=YUS, stationId=DUP2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=2.449148888888889, timeString=02.45, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510656, subwayLine=YUS, stationId=DUP2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=4.332571111111111, timeString=04.33, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510657, subwayLine=YUS, stationId=DUP2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=5.4748777777777775, timeString=05.47, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510658, subwayLine=YUS, stationId=SCW2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=5.073686666666666, timeString=05.07, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510659, subwayLine=YUS, stationId=SCW2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=6.9571088888888895, timeString=06.96, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510660, subwayLine=YUS, stationId=SCW2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=8.099415555555556, timeString=08.10, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510661, subwayLine=YUS, stationId=EGW2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=4.4090185185185184, timeString=04.41, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510662, subwayLine=YUS, stationId=EGW2, trainId=111, trainMessage=Arriving, trainDirection=South, timeInt=9.886857777777779, timeString=09.89, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510663, subwayLine=YUS, stationId=EGW2, trainId=112, trainMessage=Arriving, trainDirection=South, timeInt=11.770280000000001, timeString=11.77, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
NTASData [id=16594510664, subwayLine=YUS, stationId=GCN2, trainId=94, trainMessage=Arriving, trainDirection=South, timeInt=6.228658518518518, timeString=06.23, trainDestination=SHW2, createDate=Sun Sep 17 12:02:36 EDT 2017, systemMessageType=Normal]
