NTASData [id=16594766874, subwayLine=YUS, stationId=ROS2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=2.4229022222222225, timeString=02.42, trainDestination=SHW2, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766875, subwayLine=YUS, stationId=ROS2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=9.136711111111111, timeString=09.14, trainDestination=SHW2, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766876, subwayLine=YUS, stationId=ROS2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=17.19333333333333, timeString=17.19, trainDestination=SHW2, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766877, subwayLine=YUS, stationId=BLO2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=3.7509111111111113, timeString=03.75, trainDestination=SHW2, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766878, subwayLine=YUS, stationId=BLO2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=10.46472, timeString=10.46, trainDestination=SHW2, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766879, subwayLine=YUS, stationId=BLO2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=18.52134222222222, timeString=18.52, trainDestination=SHW2, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766880, subwayLine=YUS, stationId=WEL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=4.705257777777778, timeString=04.71, trainDestination=SHW2, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766881, subwayLine=YUS, stationId=WEL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=11.419066666666666, timeString=11.42, trainDestination=SHW2, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766882, subwayLine=YUS, stationId=WEL2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=19.475688888888886, timeString=19.48, trainDestination=SHW2, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
NTASData [id=16594766883, subwayLine=YUS, stationId=COL2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=5.634768888888889, timeString=05.63, trainDestination=SHW2, createDate=Sun Sep 17 12:22:17 EDT 2017, systemMessageType=Normal]
