NTASData [id=16594549099, subwayLine=YUS, stationId=COL1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=6.884626666666668, timeString=06.88, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549100, subwayLine=YUS, stationId=COL1, trainId=120, trainMessage=Delayed, trainDirection=North, timeInt=14.891858148148147, timeString=14.89, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549101, subwayLine=YUS, stationId=WEL1, trainId=108, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549102, subwayLine=YUS, stationId=WEL1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=4.2273266666666665, timeString=04.23, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549103, subwayLine=YUS, stationId=WEL1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=7.802284444444444, timeString=07.80, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549104, subwayLine=YUS, stationId=BLO1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=0.9543466666666667, timeString=00.95, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549105, subwayLine=YUS, stationId=BLO1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=5.181673333333333, timeString=05.18, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549106, subwayLine=YUS, stationId=BLO1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=8.75663111111111, timeString=08.76, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549107, subwayLine=YUS, stationId=ROS1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=2.28292, timeString=02.28, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
NTASData [id=16594549108, subwayLine=YUS, stationId=ROS1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=6.510246666666667, timeString=06.51, trainDestination=FIN1, createDate=Sun Sep 17 12:05:33 EDT 2017, systemMessageType=Normal]
