NTASData [id=16595185561, subwayLine=YUS, stationId=GCN2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=15.940444444444445, timeString=15.94, trainDestination=SHW2, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185562, subwayLine=YUS, stationId=LWW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=12.786997777777778, timeString=12.79, trainDestination=SHW2, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185563, subwayLine=YUS, stationId=LWW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=14.954053333333334, timeString=14.95, trainDestination=SHW2, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185564, subwayLine=YUS, stationId=LWW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=17.304577777777777, timeString=17.30, trainDestination=SHW2, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185565, subwayLine=YUS, stationId=YKD2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=14.813224444444446, timeString=14.81, trainDestination=SHW2, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185566, subwayLine=YUS, stationId=YKD2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=16.98028, timeString=16.98, trainDestination=SHW2, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185567, subwayLine=YUS, stationId=YKD2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=19.330804444444443, timeString=19.33, trainDestination=SHW2, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185568, subwayLine=YUS, stationId=WIL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=16.83267777777778, timeString=16.83, trainDestination=SHW2, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185569, subwayLine=YUS, stationId=WIL2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=18.99973333333333, timeString=19.00, trainDestination=SHW2, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185570, subwayLine=YUS, stationId=WIL2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=21.350257777777777, timeString=21.35, trainDestination=SHW2, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
NTASData [id=16595185571, subwayLine=YUS, stationId=SHW2, trainId=113, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:55:48 EDT 2017, systemMessageType=Normal]
