NTASData [id=16594516958, subwayLine=YUS, stationId=DAV1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=12.398297777777778, timeString=12.40, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516959, subwayLine=YUS, stationId=EGL1, trainId=119, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516960, subwayLine=YUS, stationId=EGL1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=1.0408355555555555, timeString=01.04, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516961, subwayLine=YUS, stationId=EGL1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=5.400217777777778, timeString=05.40, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516962, subwayLine=YUS, stationId=LAW1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=4.291906666666667, timeString=04.29, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516963, subwayLine=YUS, stationId=LAW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=5.332742222222222, timeString=05.33, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516964, subwayLine=YUS, stationId=LAW1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=9.692124444444444, timeString=09.69, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516965, subwayLine=YUS, stationId=YKM1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=7.806573333333333, timeString=07.81, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516966, subwayLine=YUS, stationId=YKM1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=8.847408888888888, timeString=08.85, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516967, subwayLine=YUS, stationId=YKM1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=13.20679111111111, timeString=13.21, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516968, subwayLine=YUS, stationId=SHP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=2.9559955555555555, timeString=02.96, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516969, subwayLine=YUS, stationId=SHP1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=11.392924444444445, timeString=11.39, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516970, subwayLine=YUS, stationId=SHP1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=12.433760000000001, timeString=12.43, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516971, subwayLine=YUS, stationId=NYC1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=0.7992533333333333, timeString=00.80, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516972, subwayLine=YUS, stationId=NYC1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=4.417213333333333, timeString=04.42, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516973, subwayLine=YUS, stationId=NYC1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=12.854142222222222, timeString=12.85, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516974, subwayLine=YUS, stationId=FIN1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=3.406293333333333, timeString=03.41, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516975, subwayLine=YUS, stationId=FIN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=7.024253333333332, timeString=07.02, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516976, subwayLine=YUS, stationId=FIN1, trainId=119, trainMessage=Arriving, trainDirection=North, timeInt=15.461182222222224, timeString=15.46, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516977, subwayLine=YUS, stationId=FIN2, trainId=101, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516978, subwayLine=YUS, stationId=FIN2, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=3.406293333333333, timeString=03.41, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516979, subwayLine=YUS, stationId=FIN2, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=7.024253333333332, timeString=07.02, trainDestination=FIN1, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516980, subwayLine=YUS, stationId=YKM2, trainId=102, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516981, subwayLine=YUS, stationId=LAW2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=3.512973333333333, timeString=03.51, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516982, subwayLine=YUS, stationId=EGL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=7.795848888888889, timeString=07.80, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516983, subwayLine=YUS, stationId=DAV2, trainId=16, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516984, subwayLine=YUS, stationId=DAV2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=9.405515555555555, timeString=09.41, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516985, subwayLine=YUS, stationId=STC2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.039208888888889, timeString=02.04, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516986, subwayLine=YUS, stationId=STC2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=11.444724444444443, timeString=11.44, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516987, subwayLine=YUS, stationId=SUM2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=3.4434177777777775, timeString=03.44, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516988, subwayLine=YUS, stationId=SUM2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=12.848933333333331, timeString=12.85, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516989, subwayLine=YUS, stationId=ROS2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=4.462111111111111, timeString=04.46, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516990, subwayLine=YUS, stationId=ROS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=13.867626666666665, timeString=13.87, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516991, subwayLine=YUS, stationId=BLO2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=0.7732888888888889, timeString=00.77, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516992, subwayLine=YUS, stationId=BLO2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=5.79012, timeString=05.79, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516993, subwayLine=YUS, stationId=BLO2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=15.195635555555555, timeString=15.20, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516994, subwayLine=YUS, stationId=WEL2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=1.7276355555555556, timeString=01.73, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516995, subwayLine=YUS, stationId=WEL2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=6.744466666666668, timeString=06.74, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516996, subwayLine=YUS, stationId=WEL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=16.14998222222222, timeString=16.15, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516997, subwayLine=YUS, stationId=COL2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=2.6571466666666668, timeString=02.66, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516998, subwayLine=YUS, stationId=COL2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=7.673977777777777, timeString=07.67, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594516999, subwayLine=YUS, stationId=COL2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=17.079493333333332, timeString=17.08, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594517000, subwayLine=YUS, stationId=DUN2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=0.1552222222222222, timeString=00.16, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594517001, subwayLine=YUS, stationId=DUN2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=3.5240044444444445, timeString=03.52, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594517002, subwayLine=YUS, stationId=DUN2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=8.540835555555555, timeString=08.54, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594517003, subwayLine=YUS, stationId=QUN2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=0.9120133333333333, timeString=00.91, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594517004, subwayLine=YUS, stationId=QUN2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=4.280795555555556, timeString=04.28, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594517005, subwayLine=YUS, stationId=QUN2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=9.297626666666666, timeString=09.30, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594517006, subwayLine=YUS, stationId=KNG2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=1.7376666666666667, timeString=01.74, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594517007, subwayLine=YUS, stationId=KNG2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=5.106448888888888, timeString=05.11, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594517008, subwayLine=YUS, stationId=KNG2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=10.12328, timeString=10.12, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
NTASData [id=16594517009, subwayLine=YUS, stationId=UNI2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=2.5446933333333335, timeString=02.54, trainDestination=SHW2, createDate=Sun Sep 17 12:03:05 EDT 2017, systemMessageType=Normal]
