NTASData [id=16594694753, subwayLine=YUS, stationId=MUS2, trainId=102, trainMessage=Arriving, trainDirection=South, timeInt=11.248959999999999, timeString=11.25, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694754, subwayLine=YUS, stationId=SGU2, trainId=115, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694755, subwayLine=YUS, stationId=SGU2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=2.97126, timeString=02.97, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694756, subwayLine=YUS, stationId=SGU2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=6.747313333333333, timeString=06.75, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694757, subwayLine=YUS, stationId=SPA2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=1.1677066666666667, timeString=01.17, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694758, subwayLine=YUS, stationId=SPA2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=4.138966666666667, timeString=04.14, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694759, subwayLine=YUS, stationId=SPA2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=7.91502, timeString=07.92, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694760, subwayLine=YUS, stationId=DUP2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=2.1655155555555554, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694761, subwayLine=YUS, stationId=DUP2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=5.136775555555555, timeString=05.14, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694762, subwayLine=YUS, stationId=DUP2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=8.912828888888887, timeString=08.91, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694763, subwayLine=YUS, stationId=SCW2, trainId=999, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694764, subwayLine=YUS, stationId=SCW2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=4.790053333333333, timeString=04.79, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694765, subwayLine=YUS, stationId=SCW2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=7.761313333333334, timeString=07.76, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694766, subwayLine=YUS, stationId=EGW2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=4.813171111111111, timeString=04.81, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694767, subwayLine=YUS, stationId=EGW2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=9.603224444444445, timeString=09.60, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694768, subwayLine=YUS, stationId=EGW2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=12.574484444444444, timeString=12.57, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694769, subwayLine=YUS, stationId=GCN2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=6.632811111111112, timeString=06.63, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694770, subwayLine=YUS, stationId=GCN2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=11.422864444444444, timeString=11.42, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694771, subwayLine=YUS, stationId=GCN2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=14.394124444444445, timeString=14.39, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694772, subwayLine=YUS, stationId=LWW2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=7.996944444444444, timeString=08.00, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16594694773, subwayLine=YUS, stationId=LWW2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=12.786997777777778, timeString=12.79, trainDestination=SHW2, createDate=Sun Sep 17 12:16:40 EDT 2017, systemMessageType=Normal]
