NTASData [id=16594797158, subwayLine=YUS, stationId=YKD2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=1.4702037037037037, timeString=01.47, trainDestination=SHW2, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797159, subwayLine=YUS, stationId=YKD2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=8.23477777777778, timeString=08.23, trainDestination=SHW2, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797160, subwayLine=YUS, stationId=YKD2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=12.64770888888889, timeString=12.65, trainDestination=SHW2, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797161, subwayLine=YUS, stationId=WIL2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=3.489657037037037, timeString=03.49, trainDestination=SHW2, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797162, subwayLine=YUS, stationId=WIL2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=10.25423111111111, timeString=10.25, trainDestination=SHW2, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797163, subwayLine=YUS, stationId=WIL2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=14.667162222222222, timeString=14.67, trainDestination=SHW2, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797164, subwayLine=YUS, stationId=SHW2, trainId=94, trainMessage=Delayed, trainDirection=South, timeInt=1.1855925925925928, timeString=01.19, trainDestination=SHW2, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797165, subwayLine=YUS, stationId=SHW2, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=7.340934814814815, timeString=07.34, trainDestination=SHW2, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797166, subwayLine=YUS, stationId=SHW2, trainId=115, trainMessage=Arriving, trainDirection=South, timeInt=14.10550888888889, timeString=14.11, trainDestination=SHW2, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797167, subwayLine=YUS, stationId=SHW1, trainId=5, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797168, subwayLine=YUS, stationId=SHW1, trainId=94, trainMessage=Delayed, trainDirection=South, timeInt=1.1855925925925928, timeString=01.19, trainDestination=SHW2, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797169, subwayLine=YUS, stationId=SHW1, trainId=999, trainMessage=Arriving, trainDirection=South, timeInt=7.340934814814815, timeString=07.34, trainDestination=SHW2, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797170, subwayLine=YUS, stationId=WIL1, trainId=104, trainMessage=Delayed, trainDirection=North, timeInt=0.5053132444444444, timeString=00.51, trainDestination=FIN1, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797171, subwayLine=YUS, stationId=WIL1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=3.1948502814814814, timeString=03.19, trainDestination=FIN1, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797172, subwayLine=YUS, stationId=YKD1, trainId=128, trainMessage=Delayed, trainDirection=North, timeInt=1.0103555555555555, timeString=01.01, trainDestination=FIN1, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797173, subwayLine=YUS, stationId=YKD1, trainId=129, trainMessage=Delayed, trainDirection=North, timeInt=1.50114, timeString=01.50, trainDestination=FIN1, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
NTASData [id=16594797174, subwayLine=YUS, stationId=YKD1, trainId=104, trainMessage=Delayed, trainDirection=North, timeInt=2.5208154666666664, timeString=02.52, trainDestination=FIN1, createDate=Sun Sep 17 12:24:39 EDT 2017, systemMessageType=Normal]
