NTASData [id=16594992555, subwayLine=YUS, stationId=SGU2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=3.309362222222222, timeString=03.31, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992556, subwayLine=YUS, stationId=SGU2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=8.484979999999998, timeString=08.48, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992557, subwayLine=YUS, stationId=SPA2, trainId=102, trainMessage=Delayed, trainDirection=South, timeInt=1.1677066666666667, timeString=01.17, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992558, subwayLine=YUS, stationId=SPA2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=4.477068888888889, timeString=04.48, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992559, subwayLine=YUS, stationId=SPA2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=9.652686666666666, timeString=09.65, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992560, subwayLine=YUS, stationId=DUP2, trainId=102, trainMessage=Delayed, trainDirection=South, timeInt=2.1655155555555554, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992561, subwayLine=YUS, stationId=DUP2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=5.4748777777777775, timeString=05.47, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992562, subwayLine=YUS, stationId=DUP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=10.650495555555553, timeString=10.65, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992563, subwayLine=YUS, stationId=SCW2, trainId=102, trainMessage=Delayed, trainDirection=South, timeInt=4.790053333333333, timeString=04.79, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992564, subwayLine=YUS, stationId=SCW2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=8.099415555555556, timeString=08.10, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992565, subwayLine=YUS, stationId=SCW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=13.275033333333331, timeString=13.28, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992566, subwayLine=YUS, stationId=EGW2, trainId=16, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992567, subwayLine=YUS, stationId=EGW2, trainId=102, trainMessage=Delayed, trainDirection=South, timeInt=9.603224444444445, timeString=09.60, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992568, subwayLine=YUS, stationId=EGW2, trainId=101, trainMessage=Arriving, trainDirection=South, timeInt=12.912586666666666, timeString=12.91, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992569, subwayLine=YUS, stationId=GCN2, trainId=532, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992570, subwayLine=YUS, stationId=GCN2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=1.8196400000000001, timeString=01.82, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992571, subwayLine=YUS, stationId=GCN2, trainId=102, trainMessage=Delayed, trainDirection=South, timeInt=11.422864444444444, timeString=11.42, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992572, subwayLine=YUS, stationId=LWW2, trainId=532, trainMessage=Arriving, trainDirection=South, timeInt=1.3641333333333332, timeString=01.36, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992573, subwayLine=YUS, stationId=LWW2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=3.183773333333334, timeString=03.18, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992574, subwayLine=YUS, stationId=LWW2, trainId=102, trainMessage=Delayed, trainDirection=South, timeInt=12.786997777777778, timeString=12.79, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594992575, subwayLine=YUS, stationId=YKD2, trainId=532, trainMessage=Arriving, trainDirection=South, timeInt=3.3903600000000003, timeString=03.39, trainDestination=SHW2, createDate=Sun Sep 17 12:40:13 EDT 2017, systemMessageType=Normal]
