NTASData [id=16595160361, subwayLine=YUS, stationId=SGU2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=5.940286666666665, timeString=05.94, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160362, subwayLine=YUS, stationId=SPA2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=1.1677066666666667, timeString=01.17, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160363, subwayLine=YUS, stationId=SPA2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=4.9482511111111105, timeString=04.95, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160364, subwayLine=YUS, stationId=SPA2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=7.107993333333333, timeString=07.11, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160365, subwayLine=YUS, stationId=DUP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=2.1655155555555554, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160366, subwayLine=YUS, stationId=DUP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=5.946060000000001, timeString=05.95, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160367, subwayLine=YUS, stationId=DUP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=8.105802222222222, timeString=08.11, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160368, subwayLine=YUS, stationId=SCW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=4.790053333333333, timeString=04.79, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160369, subwayLine=YUS, stationId=SCW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=8.570597777777778, timeString=08.57, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160370, subwayLine=YUS, stationId=SCW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=10.73034, timeString=10.73, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160371, subwayLine=YUS, stationId=EGW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=9.603224444444445, timeString=09.60, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160372, subwayLine=YUS, stationId=EGW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=13.38376888888889, timeString=13.38, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160373, subwayLine=YUS, stationId=EGW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=15.54351111111111, timeString=15.54, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160374, subwayLine=YUS, stationId=GCN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=11.422864444444444, timeString=11.42, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160375, subwayLine=YUS, stationId=GCN2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=15.20340888888889, timeString=15.20, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160376, subwayLine=YUS, stationId=GCN2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=17.36315111111111, timeString=17.36, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160377, subwayLine=YUS, stationId=LWW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=12.786997777777778, timeString=12.79, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160378, subwayLine=YUS, stationId=LWW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=16.567542222222222, timeString=16.57, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160379, subwayLine=YUS, stationId=LWW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=18.727284444444443, timeString=18.73, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160380, subwayLine=YUS, stationId=YKD2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=14.813224444444446, timeString=14.81, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160381, subwayLine=YUS, stationId=YKD2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=18.593768888888892, timeString=18.59, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160382, subwayLine=YUS, stationId=YKD2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=20.75351111111111, timeString=20.75, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160383, subwayLine=YUS, stationId=WIL2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=16.83267777777778, timeString=16.83, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160384, subwayLine=YUS, stationId=WIL2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=20.613222222222223, timeString=20.61, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160385, subwayLine=YUS, stationId=WIL2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=22.772964444444444, timeString=22.77, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160386, subwayLine=YUS, stationId=SHW2, trainId=113, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160387, subwayLine=YUS, stationId=SHW2, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=0.44531481481481483, timeString=00.45, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160388, subwayLine=YUS, stationId=SHW2, trainId=532, trainMessage=Arriving, trainDirection=South, timeInt=1.7228703703703705, timeString=01.72, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160389, subwayLine=YUS, stationId=SHW1, trainId=117, trainMessage=Arriving, trainDirection=South, timeInt=0.44531481481481483, timeString=00.45, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160390, subwayLine=YUS, stationId=SHW1, trainId=532, trainMessage=Arriving, trainDirection=South, timeInt=1.7228703703703705, timeString=01.72, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160391, subwayLine=YUS, stationId=SHW1, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.607962962962963, timeString=02.61, trainDestination=SHW2, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160392, subwayLine=YUS, stationId=WIL1, trainId=5, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160393, subwayLine=YUS, stationId=WIL1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=0.5163132444444444, timeString=00.52, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160394, subwayLine=YUS, stationId=WIL1, trainId=127, trainMessage=Arriving, trainDirection=North, timeInt=2.400053985185185, timeString=02.40, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160395, subwayLine=YUS, stationId=YKD1, trainId=106, trainMessage=Delayed, trainDirection=North, timeInt=0.28786666666666666, timeString=00.29, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160396, subwayLine=YUS, stationId=YKD1, trainId=196, trainMessage=Delayed, trainDirection=North, timeInt=1.3716, timeString=01.37, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160397, subwayLine=YUS, stationId=YKD1, trainId=5, trainMessage=Delayed, trainDirection=North, timeInt=2.015502222222222, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160398, subwayLine=YUS, stationId=LWW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=0.27796296296296297, timeString=00.28, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160399, subwayLine=YUS, stationId=LWW1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=0.4872222222222223, timeString=00.49, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160400, subwayLine=YUS, stationId=LWW1, trainId=104, trainMessage=Delayed, trainDirection=North, timeInt=1.5437407407407409, timeString=01.54, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160401, subwayLine=YUS, stationId=GCN1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=0.7222037037037037, timeString=00.72, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160402, subwayLine=YUS, stationId=GCN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=1.6364518518518518, timeString=01.64, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160403, subwayLine=YUS, stationId=GCN1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=1.845711111111111, timeString=01.85, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160404, subwayLine=YUS, stationId=EGW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=2.5424081481481484, timeString=02.54, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160405, subwayLine=YUS, stationId=EGW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=3.4566562962962957, timeString=03.46, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160406, subwayLine=YUS, stationId=EGW1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=3.6659155555555554, timeString=03.67, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160407, subwayLine=YUS, stationId=SCW1, trainId=195, trainMessage=Delayed, trainDirection=North, timeInt=7.241843703703704, timeString=07.24, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
NTASData [id=16595160408, subwayLine=YUS, stationId=SCW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=8.156091851851851, timeString=08.16, trainDestination=FIN1, createDate=Sun Sep 17 12:53:49 EDT 2017, systemMessageType=Normal]
