NTASData [id=16594055015, subwayLine=YUS, stationId=SPA2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=6.181304444444445, timeString=06.18, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055016, subwayLine=YUS, stationId=DUP2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=2.1655155555555554, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055017, subwayLine=YUS, stationId=DUP2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=2.9018333333333333, timeString=02.90, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055018, subwayLine=YUS, stationId=DUP2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=7.1791133333333335, timeString=07.18, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055019, subwayLine=YUS, stationId=SCW2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=4.790053333333333, timeString=04.79, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055020, subwayLine=YUS, stationId=SCW2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=5.526371111111112, timeString=05.53, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055021, subwayLine=YUS, stationId=SCW2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=9.803651111111112, timeString=09.80, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055022, subwayLine=YUS, stationId=EGW2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=9.603224444444445, timeString=09.60, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055023, subwayLine=YUS, stationId=EGW2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=10.339542222222223, timeString=10.34, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055024, subwayLine=YUS, stationId=EGW2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=14.616822222222224, timeString=14.62, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055025, subwayLine=YUS, stationId=GCN2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=11.422864444444444, timeString=11.42, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055026, subwayLine=YUS, stationId=GCN2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=12.159182222222224, timeString=12.16, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055027, subwayLine=YUS, stationId=GCN2, trainId=5, trainMessage=Arriving, trainDirection=South, timeInt=16.43646222222222, timeString=16.44, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055028, subwayLine=YUS, stationId=LWW2, trainId=192, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055029, subwayLine=YUS, stationId=LWW2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=12.786997777777778, timeString=12.79, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055030, subwayLine=YUS, stationId=LWW2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=13.523315555555556, timeString=13.52, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055031, subwayLine=YUS, stationId=YKD2, trainId=192, trainMessage=Delayed, trainDirection=South, timeInt=2.0262266666666666, timeString=02.03, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055032, subwayLine=YUS, stationId=YKD2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=14.813224444444446, timeString=14.81, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055033, subwayLine=YUS, stationId=YKD2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=15.549542222222223, timeString=15.55, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055034, subwayLine=YUS, stationId=WIL2, trainId=192, trainMessage=Delayed, trainDirection=South, timeInt=4.04568, timeString=04.05, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055035, subwayLine=YUS, stationId=WIL2, trainId=104, trainMessage=Arriving, trainDirection=South, timeInt=16.83267777777778, timeString=16.83, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594055036, subwayLine=YUS, stationId=WIL2, trainId=106, trainMessage=Arriving, trainDirection=South, timeInt=17.568995555555556, timeString=17.57, trainDestination=SHW2, createDate=Sun Sep 17 11:28:07 EDT 2017, systemMessageType=Normal]
