NTASData [id=16595125865, subwayLine=YUS, stationId=DUP2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=3.3250377777777778, timeString=03.33, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125866, subwayLine=YUS, stationId=DUP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=7.616416666666666, timeString=07.62, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125867, subwayLine=YUS, stationId=DUP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=9.73848222222222, timeString=09.74, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125868, subwayLine=YUS, stationId=SCW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=5.9495755555555565, timeString=05.95, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125869, subwayLine=YUS, stationId=SCW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=10.240954444444444, timeString=10.24, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125870, subwayLine=YUS, stationId=SCW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=12.363019999999999, timeString=12.36, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125871, subwayLine=YUS, stationId=EGW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=10.762746666666667, timeString=10.76, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125872, subwayLine=YUS, stationId=EGW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=15.054125555555556, timeString=15.05, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125873, subwayLine=YUS, stationId=EGW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=17.17619111111111, timeString=17.18, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125874, subwayLine=YUS, stationId=GCN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=12.582386666666666, timeString=12.58, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125875, subwayLine=YUS, stationId=GCN2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=16.873765555555558, timeString=16.87, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125876, subwayLine=YUS, stationId=GCN2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=18.99583111111111, timeString=19.00, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
NTASData [id=16595125877, subwayLine=YUS, stationId=LWW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=13.94652, timeString=13.95, trainDestination=SHW2, createDate=Sun Sep 17 12:50:58 EDT 2017, systemMessageType=Normal]
