NTASData [id=16594661729, subwayLine=YUS, stationId=QUN1, trainId=114, trainMessage=Arriving, trainDirection=North, timeInt=7.727765555555553, timeString=07.73, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661730, subwayLine=YUS, stationId=DUN1, trainId=110, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661731, subwayLine=YUS, stationId=DUN1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=3.027011111111111, timeString=03.03, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661732, subwayLine=YUS, stationId=DUN1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=6.017768888888888, timeString=06.02, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661733, subwayLine=YUS, stationId=COL1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=0.8668577777777778, timeString=00.87, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661734, subwayLine=YUS, stationId=COL1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=3.893868888888889, timeString=03.89, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661735, subwayLine=YUS, stationId=COL1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=6.884626666666668, timeString=06.88, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661736, subwayLine=YUS, stationId=WEL1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=1.7845155555555554, timeString=01.78, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661737, subwayLine=YUS, stationId=WEL1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=4.8115266666666665, timeString=04.81, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661738, subwayLine=YUS, stationId=WEL1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=7.802284444444444, timeString=07.80, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661739, subwayLine=YUS, stationId=BLO1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=2.7388622222222225, timeString=02.74, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661740, subwayLine=YUS, stationId=BLO1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=5.765873333333333, timeString=05.77, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661741, subwayLine=YUS, stationId=BLO1, trainId=112, trainMessage=Arriving, trainDirection=North, timeInt=8.75663111111111, timeString=08.76, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661742, subwayLine=YUS, stationId=ROS1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=0.5458177777777777, timeString=00.55, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661743, subwayLine=YUS, stationId=ROS1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=4.067435555555556, timeString=04.07, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661744, subwayLine=YUS, stationId=ROS1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=7.094446666666666, timeString=07.09, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661745, subwayLine=YUS, stationId=SUM1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=1.5752355555555555, timeString=01.58, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661746, subwayLine=YUS, stationId=SUM1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=5.096853333333334, timeString=05.10, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661747, subwayLine=YUS, stationId=SUM1, trainId=111, trainMessage=Arriving, trainDirection=North, timeInt=8.123864444444443, timeString=08.12, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661748, subwayLine=YUS, stationId=STC1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=2.983395555555556, timeString=02.98, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
NTASData [id=16594661749, subwayLine=YUS, stationId=STC1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=6.505013333333332, timeString=06.51, trainDestination=FIN1, createDate=Sun Sep 17 12:14:07 EDT 2017, systemMessageType=Normal]
