NTASData [id=16593928142, subwayLine=YUS, stationId=UNI1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=17.381636666666665, timeString=17.38, trainDestination=FIN1, createDate=Sun Sep 17 11:18:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16593928143, subwayLine=YUS, stationId=KNG1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=0.8626244444444445, timeString=00.86, trainDestination=FIN1, createDate=Sun Sep 17 11:18:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16593928144, subwayLine=YUS, stationId=KNG1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=6.374626666666666, timeString=06.37, trainDestination=FIN1, createDate=Sun Sep 17 11:18:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16593928145, subwayLine=YUS, stationId=KNG1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=18.176527777777775, timeString=18.18, trainDestination=FIN1, createDate=Sun Sep 17 11:18:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16593928146, subwayLine=YUS, stationId=QUN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=1.6882777777777778, timeString=01.69, trainDestination=FIN1, createDate=Sun Sep 17 11:18:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16593928147, subwayLine=YUS, stationId=QUN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=7.200279999999999, timeString=07.20, trainDestination=FIN1, createDate=Sun Sep 17 11:18:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16593928148, subwayLine=YUS, stationId=QUN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=19.00218111111111, timeString=19.00, trainDestination=FIN1, createDate=Sun Sep 17 11:18:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16593928149, subwayLine=YUS, stationId=DUN1, trainId=16, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 11:18:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16593928150, subwayLine=YUS, stationId=DUN1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.4428111111111113, timeString=02.44, trainDestination=FIN1, createDate=Sun Sep 17 11:18:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16593928151, subwayLine=YUS, stationId=DUN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=7.954813333333332, timeString=07.95, trainDestination=FIN1, createDate=Sun Sep 17 11:18:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16593928152, subwayLine=YUS, stationId=COL1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=0.8668577777777778, timeString=00.87, trainDestination=FIN1, createDate=Sun Sep 17 11:18:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16593928153, subwayLine=YUS, stationId=COL1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=3.309668888888889, timeString=03.31, trainDestination=FIN1, createDate=Sun Sep 17 11:18:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16593928154, subwayLine=YUS, stationId=COL1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=8.82167111111111, timeString=08.82, trainDestination=FIN1, createDate=Sun Sep 17 11:18:52 EDT 2017, systemMessageType=Normal]
NTASData [id=16593928155, subwayLine=YUS, stationId=WEL1, trainId=16, trainMessage=Arriving, trainDirection=North, timeInt=1.7845155555555554, timeString=01.78, trainDestination=FIN1, createDate=Sun Sep 17 11:18:52 EDT 2017, systemMessageType=Normal]
