NTASData [id=16594879495, subwayLine=BD, stationId=YNG1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=1.8919330030959756, timeString=01.89, trainDestination=KEN1, createDate=Sun Sep 17 12:31:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594879496, subwayLine=BD, stationId=YNG1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=5.698612413622293, timeString=05.70, trainDestination=KEN1, createDate=Sun Sep 17 12:31:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594879497, subwayLine=BD, stationId=YNG1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=10.068062444582043, timeString=10.07, trainDestination=KEN1, createDate=Sun Sep 17 12:31:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594879498, subwayLine=BD, stationId=SHE1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=3.211373869969041, timeString=03.21, trainDestination=KEN1, createDate=Sun Sep 17 12:31:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594879499, subwayLine=BD, stationId=SHE1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=7.018053280495357, timeString=07.02, trainDestination=KEN1, createDate=Sun Sep 17 12:31:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594879500, subwayLine=BD, stationId=SHE1, trainId=221, trainMessage=Arriving, trainDirection=East, timeInt=11.38750331145511, timeString=11.39, trainDestination=KEN1, createDate=Sun Sep 17 12:31:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594879501, subwayLine=BD, stationId=CFK1, trainId=218, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 12:31:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594879502, subwayLine=BD, stationId=CFK1, trainId=219, trainMessage=Arriving, trainDirection=East, timeInt=4.249417337461301, timeString=04.25, trainDestination=KEN1, createDate=Sun Sep 17 12:31:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594879503, subwayLine=BD, stationId=CFK1, trainId=220, trainMessage=Arriving, trainDirection=East, timeInt=8.056096747987617, timeString=08.06, trainDestination=KEN1, createDate=Sun Sep 17 12:31:13 EDT 2017, systemMessageType=Normal]
NTASData [id=16594879504, subwayLine=BD, stationId=BRD1, trainId=218, trainMessage=Arriving, trainDirection=East, timeInt=1.5745103405572758, timeString=01.57, trainDestination=KEN1, createDate=Sun Sep 17 12:31:13 EDT 2017, systemMessageType=Normal]
