NTASData [id=16593756305, subwayLine=BD, stationId=KEL2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=9.538130957275543, timeString=09.54, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756306, subwayLine=BD, stationId=KEL2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=11.685982721981425, timeString=11.69, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756307, subwayLine=BD, stationId=HPK2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=4.285723095975233, timeString=04.29, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756308, subwayLine=BD, stationId=HPK2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=10.733858882972138, timeString=10.73, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756309, subwayLine=BD, stationId=HPK2, trainId=213, trainMessage=Arriving, trainDirection=West, timeInt=12.88171064767802, timeString=12.88, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756310, subwayLine=BD, stationId=RUN2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=0.9653572755417957, timeString=00.97, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756311, subwayLine=BD, stationId=RUN2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=5.5060803715170294, timeString=05.51, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756312, subwayLine=BD, stationId=RUN2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=11.954216158513931, timeString=11.95, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756313, subwayLine=BD, stationId=JNE2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=2.1802224891640867, timeString=02.18, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756314, subwayLine=BD, stationId=JNE2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=6.7209455851393205, timeString=06.72, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756315, subwayLine=BD, stationId=JNE2, trainId=212, trainMessage=Arriving, trainDirection=West, timeInt=13.169081372136223, timeString=13.17, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756316, subwayLine=BD, stationId=OML2, trainId=209, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756317, subwayLine=BD, stationId=OML2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=3.783891715170279, timeString=03.78, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756318, subwayLine=BD, stationId=OML2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=8.324614811145514, timeString=08.32, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756319, subwayLine=BD, stationId=RYK2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=2.4172530873065017, timeString=02.42, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756320, subwayLine=BD, stationId=RYK2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=6.20114480247678, timeString=06.20, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756321, subwayLine=BD, stationId=RYK2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=10.741867898452016, timeString=10.74, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756322, subwayLine=BD, stationId=ISL2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=4.644746942414861, timeString=04.64, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756323, subwayLine=BD, stationId=ISL2, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=8.42863865758514, timeString=08.43, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756324, subwayLine=BD, stationId=ISL2, trainId=211, trainMessage=Arriving, trainDirection=West, timeInt=12.969361753560374, timeString=12.97, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756325, subwayLine=BD, stationId=KIP2, trainId=207, trainMessage=AtStation, trainDirection=West, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756326, subwayLine=BD, stationId=KIP2, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=1.5323985139318888, timeString=01.53, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756327, subwayLine=BD, stationId=KIP2, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=6.993145426625388, timeString=06.99, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756328, subwayLine=BD, stationId=KIP1, trainId=208, trainMessage=Arriving, trainDirection=West, timeInt=1.5323985139318888, timeString=01.53, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756329, subwayLine=BD, stationId=KIP1, trainId=209, trainMessage=Arriving, trainDirection=West, timeInt=6.993145426625388, timeString=06.99, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756330, subwayLine=BD, stationId=KIP1, trainId=210, trainMessage=Arriving, trainDirection=West, timeInt=10.777037141795667, timeString=10.78, trainDestination=KIP2, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756331, subwayLine=BD, stationId=ISL1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=0.7617150167182664, timeString=00.76, trainDestination=KEN1, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756332, subwayLine=BD, stationId=RYK1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=2.766621830340558, timeString=02.77, trainDestination=KEN1, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756333, subwayLine=BD, stationId=OML1, trainId=205, trainMessage=Arriving, trainDirection=East, timeInt=1.1697525696594429, timeString=01.17, trainDestination=KEN1, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756334, subwayLine=BD, stationId=OML1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=5.18560746501548, timeString=05.19, trainDestination=KEN1, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756335, subwayLine=BD, stationId=JNE1, trainId=205, trainMessage=Arriving, trainDirection=East, timeInt=2.7654951083591337, timeString=02.77, trainDestination=KEN1, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756336, subwayLine=BD, stationId=JNE1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=6.78135000371517, timeString=06.78, trainDestination=KEN1, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756337, subwayLine=BD, stationId=RUN1, trainId=205, trainMessage=Arriving, trainDirection=East, timeInt=3.8954315294117654, timeString=03.90, trainDestination=KEN1, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756338, subwayLine=BD, stationId=RUN1, trainId=206, trainMessage=Arriving, trainDirection=East, timeInt=7.911286424767802, timeString=07.91, trainDestination=KEN1, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
NTASData [id=16593756339, subwayLine=BD, stationId=HPK1, trainId=204, trainMessage=Arriving, trainDirection=East, timeInt=0.20382910216718267, timeString=00.20, trainDestination=KEN1, createDate=Sun Sep 17 11:06:29 EDT 2017, systemMessageType=Normal]
