NTASData [id=16594536443, subwayLine=YUS, stationId=SUM1, trainId=110, trainMessage=Arriving, trainDirection=North, timeInt=11.925728888888887, timeString=11.93, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536444, subwayLine=YUS, stationId=STC1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=0.7518400000000001, timeString=00.75, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536445, subwayLine=YUS, stationId=STC1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=5.6381555555555565, timeString=05.64, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536446, subwayLine=YUS, stationId=STC1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=9.787024444444443, timeString=09.79, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536447, subwayLine=YUS, stationId=DAV1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=2.7842755555555554, timeString=02.78, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536448, subwayLine=YUS, stationId=DAV1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=7.670591111111111, timeString=07.67, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536449, subwayLine=YUS, stationId=DAV1, trainId=109, trainMessage=Arriving, trainDirection=North, timeInt=11.81946, timeString=11.82, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536450, subwayLine=YUS, stationId=EGL1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536451, subwayLine=YUS, stationId=EGL1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=0.35616444444444445, timeString=00.36, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536452, subwayLine=YUS, stationId=EGL1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=4.398457777777778, timeString=04.40, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536453, subwayLine=YUS, stationId=LAW1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=4.291906666666667, timeString=04.29, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536454, subwayLine=YUS, stationId=LAW1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=4.64807111111111, timeString=04.65, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536455, subwayLine=YUS, stationId=LAW1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=8.690364444444445, timeString=08.69, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536456, subwayLine=YUS, stationId=YKM1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=7.806573333333333, timeString=07.81, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536457, subwayLine=YUS, stationId=YKM1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=8.162737777777778, timeString=08.16, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536458, subwayLine=YUS, stationId=YKM1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=12.205031111111111, timeString=12.21, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536459, subwayLine=YUS, stationId=SHP1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=1.525128888888889, timeString=01.53, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536460, subwayLine=YUS, stationId=SHP1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=11.392924444444445, timeString=11.39, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536461, subwayLine=YUS, stationId=SHP1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=11.74908888888889, timeString=11.75, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536462, subwayLine=YUS, stationId=NYC1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=2.986346666666667, timeString=02.99, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536463, subwayLine=YUS, stationId=NYC1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=12.854142222222222, timeString=12.85, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536464, subwayLine=YUS, stationId=NYC1, trainId=121, trainMessage=Arriving, trainDirection=North, timeInt=13.210306666666668, timeString=13.21, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536465, subwayLine=YUS, stationId=FIN1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=2.35204, timeString=02.35, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536466, subwayLine=YUS, stationId=FIN1, trainId=118, trainMessage=Arriving, trainDirection=North, timeInt=5.5933866666666665, timeString=05.59, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
NTASData [id=16594536467, subwayLine=YUS, stationId=FIN1, trainId=119, trainMessage=Delayed, trainDirection=North, timeInt=15.461182222222224, timeString=15.46, trainDestination=FIN1, createDate=Sun Sep 17 12:04:35 EDT 2017, systemMessageType=Normal]
