NTASData [id=16593061548, subwayLine=YUS, stationId=LAW1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=11.449675555555554, timeString=11.45, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061549, subwayLine=YUS, stationId=LAW1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=17.470548888888885, timeString=17.47, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061550, subwayLine=YUS, stationId=YKM1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=7.925671111111111, timeString=07.93, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061551, subwayLine=YUS, stationId=YKM1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=14.964342222222221, timeString=14.96, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061552, subwayLine=YUS, stationId=YKM1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=20.98521555555555, timeString=20.99, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061553, subwayLine=YUS, stationId=SHP1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=1.525128888888889, timeString=01.53, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061554, subwayLine=YUS, stationId=SHP1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=11.512022222222223, timeString=11.51, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061555, subwayLine=YUS, stationId=SHP1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=18.550693333333335, timeString=18.55, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061556, subwayLine=YUS, stationId=NYC1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=2.986346666666667, timeString=02.99, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061557, subwayLine=YUS, stationId=NYC1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=12.97324, timeString=12.97, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061558, subwayLine=YUS, stationId=NYC1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=20.01191111111111, timeString=20.01, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061559, subwayLine=YUS, stationId=FIN1, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=5.5933866666666665, timeString=05.59, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061560, subwayLine=YUS, stationId=FIN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=15.58028, timeString=15.58, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061561, subwayLine=YUS, stationId=FIN1, trainId=101, trainMessage=Arriving, trainDirection=North, timeInt=22.61895111111111, timeString=22.62, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061562, subwayLine=YUS, stationId=FIN2, trainId=125, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061563, subwayLine=YUS, stationId=FIN2, trainId=126, trainMessage=Arriving, trainDirection=North, timeInt=5.5933866666666665, timeString=05.59, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061564, subwayLine=YUS, stationId=FIN2, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=15.58028, timeString=15.58, trainDestination=FIN1, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061565, subwayLine=YUS, stationId=YKM2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=3.3257066666666666, timeString=03.33, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061566, subwayLine=YUS, stationId=LAW2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=6.838679999999999, timeString=06.84, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061567, subwayLine=YUS, stationId=EGL2, trainId=123, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061568, subwayLine=YUS, stationId=EGL2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=11.121555555555554, timeString=11.12, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061569, subwayLine=YUS, stationId=DAV2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=1.6096666666666666, timeString=01.61, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061570, subwayLine=YUS, stationId=DAV2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=12.731222222222222, timeString=12.73, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061571, subwayLine=YUS, stationId=STC2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=3.6488755555555556, timeString=03.65, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061572, subwayLine=YUS, stationId=STC2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=14.770431111111108, timeString=14.77, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061573, subwayLine=YUS, stationId=SUM2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=5.053084444444444, timeString=05.05, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061574, subwayLine=YUS, stationId=SUM2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=16.174639999999997, timeString=16.17, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061575, subwayLine=YUS, stationId=ROS2, trainId=122, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061576, subwayLine=YUS, stationId=ROS2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=6.071777777777777, timeString=06.07, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061577, subwayLine=YUS, stationId=ROS2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=17.19333333333333, timeString=17.19, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061578, subwayLine=YUS, stationId=BLO2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=1.3280088888888888, timeString=01.33, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061579, subwayLine=YUS, stationId=BLO2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=7.399786666666666, timeString=07.40, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061580, subwayLine=YUS, stationId=BLO2, trainId=124, trainMessage=Arriving, trainDirection=South, timeInt=18.52134222222222, timeString=18.52, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061581, subwayLine=YUS, stationId=WEL2, trainId=120, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061582, subwayLine=YUS, stationId=WEL2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=2.2823555555555552, timeString=02.28, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061583, subwayLine=YUS, stationId=WEL2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=8.354133333333333, timeString=08.35, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061584, subwayLine=YUS, stationId=COL2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=0.9295111111111111, timeString=00.93, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061585, subwayLine=YUS, stationId=COL2, trainId=122, trainMessage=Arriving, trainDirection=South, timeInt=3.211866666666667, timeString=03.21, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061586, subwayLine=YUS, stationId=COL2, trainId=123, trainMessage=Arriving, trainDirection=South, timeInt=9.283644444444443, timeString=09.28, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
NTASData [id=16593061587, subwayLine=YUS, stationId=DUN2, trainId=120, trainMessage=Arriving, trainDirection=South, timeInt=1.7963688888888891, timeString=01.80, trainDestination=MUS2, createDate=Sun Sep 17 10:15:20 EDT 2017, systemMessageType=Normal]
