NTASData [id=16595204987, subwayLine=YUS, stationId=STA2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=2.12544, timeString=02.13, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595204988, subwayLine=YUS, stationId=STA2, trainId=105, trainMessage=Arriving, trainDirection=South, timeInt=4.183017777777778, timeString=04.18, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595204989, subwayLine=YUS, stationId=STA2, trainId=7, trainMessage=Arriving, trainDirection=South, timeInt=7.394884444444443, timeString=07.39, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595204990, subwayLine=YUS, stationId=OSG2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=2.8207066666666667, timeString=02.82, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595204991, subwayLine=YUS, stationId=OSG2, trainId=105, trainMessage=Arriving, trainDirection=South, timeInt=4.878284444444445, timeString=04.88, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595204992, subwayLine=YUS, stationId=OSG2, trainId=7, trainMessage=Arriving, trainDirection=South, timeInt=8.09015111111111, timeString=08.09, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595204993, subwayLine=YUS, stationId=STP2, trainId=119, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595204994, subwayLine=YUS, stationId=STP2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=3.574675555555556, timeString=03.57, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595204995, subwayLine=YUS, stationId=STP2, trainId=105, trainMessage=Arriving, trainDirection=South, timeInt=5.632253333333333, timeString=05.63, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595204996, subwayLine=YUS, stationId=QPK2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=1.1423066666666668, timeString=01.14, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595204997, subwayLine=YUS, stationId=QPK2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=4.716982222222223, timeString=04.72, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595204998, subwayLine=YUS, stationId=QPK2, trainId=105, trainMessage=Arriving, trainDirection=South, timeInt=6.774559999999999, timeString=06.77, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595204999, subwayLine=YUS, stationId=MUS2, trainId=118, trainMessage=AtStation, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205000, subwayLine=YUS, stationId=MUS2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=2.40484, timeString=02.40, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205001, subwayLine=YUS, stationId=MUS2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=5.979515555555555, timeString=05.98, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205002, subwayLine=YUS, stationId=SGU2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205003, subwayLine=YUS, stationId=SGU2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=1.1595222222222223, timeString=01.16, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205004, subwayLine=YUS, stationId=SGU2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=3.5643622222222224, timeString=03.56, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205005, subwayLine=YUS, stationId=SPA2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=1.1677066666666667, timeString=01.17, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205006, subwayLine=YUS, stationId=SPA2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=2.3272288888888886, timeString=02.33, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205007, subwayLine=YUS, stationId=SPA2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=4.7320688888888895, timeString=04.73, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205008, subwayLine=YUS, stationId=DUP2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=2.1655155555555554, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205009, subwayLine=YUS, stationId=DUP2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=3.3250377777777778, timeString=03.33, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205010, subwayLine=YUS, stationId=DUP2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=5.729877777777778, timeString=05.73, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205011, subwayLine=YUS, stationId=SCW2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=4.790053333333333, timeString=04.79, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205012, subwayLine=YUS, stationId=SCW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=5.9495755555555565, timeString=05.95, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205013, subwayLine=YUS, stationId=SCW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=8.354415555555555, timeString=08.35, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205014, subwayLine=YUS, stationId=EGW2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=9.603224444444445, timeString=09.60, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205015, subwayLine=YUS, stationId=EGW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=10.762746666666667, timeString=10.76, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205016, subwayLine=YUS, stationId=EGW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=13.167586666666667, timeString=13.17, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205017, subwayLine=YUS, stationId=GCN2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=11.422864444444444, timeString=11.42, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205018, subwayLine=YUS, stationId=GCN2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=12.582386666666666, timeString=12.58, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205019, subwayLine=YUS, stationId=GCN2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=14.987226666666666, timeString=14.99, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205020, subwayLine=YUS, stationId=LWW2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=12.786997777777778, timeString=12.79, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205021, subwayLine=YUS, stationId=LWW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=13.94652, timeString=13.95, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205022, subwayLine=YUS, stationId=LWW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=16.35136, timeString=16.35, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205023, subwayLine=YUS, stationId=YKD2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=14.813224444444446, timeString=14.81, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205024, subwayLine=YUS, stationId=YKD2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=15.972746666666666, timeString=15.97, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205025, subwayLine=YUS, stationId=YKD2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=18.377586666666666, timeString=18.38, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205026, subwayLine=YUS, stationId=WIL2, trainId=3, trainMessage=Delayed, trainDirection=South, timeInt=16.83267777777778, timeString=16.83, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205027, subwayLine=YUS, stationId=WIL2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=17.9922, timeString=17.99, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205028, subwayLine=YUS, stationId=WIL2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=20.39704, timeString=20.40, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205029, subwayLine=YUS, stationId=SHW2, trainId=113, trainMessage=Delayed, trainDirection=South, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205030, subwayLine=YUS, stationId=SHW2, trainId=532, trainMessage=Arriving, trainDirection=South, timeInt=1.1855925925925928, timeString=01.19, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205031, subwayLine=YUS, stationId=SHW2, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.1653148148148147, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205032, subwayLine=YUS, stationId=SHW1, trainId=117, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205033, subwayLine=YUS, stationId=SHW1, trainId=532, trainMessage=Arriving, trainDirection=South, timeInt=1.1855925925925928, timeString=01.19, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205034, subwayLine=YUS, stationId=SHW1, trainId=16, trainMessage=Arriving, trainDirection=South, timeInt=2.1653148148148147, timeString=02.17, trainDestination=SHW2, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205035, subwayLine=YUS, stationId=WIL1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=0.5053132444444444, timeString=00.51, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205036, subwayLine=YUS, stationId=WIL1, trainId=999, trainMessage=Arriving, trainDirection=North, timeInt=2.400053985185185, timeString=02.40, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205037, subwayLine=YUS, stationId=WIL1, trainId=127, trainMessage=Delayed, trainDirection=North, timeInt=2.400053985185185, timeString=02.40, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205038, subwayLine=YUS, stationId=YKD1, trainId=196, trainMessage=Arriving, trainDirection=North, timeInt=1.0103555555555555, timeString=01.01, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205039, subwayLine=YUS, stationId=YKD1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=1.50114, timeString=01.50, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205040, subwayLine=YUS, stationId=YKD1, trainId=115, trainMessage=Arriving, trainDirection=North, timeInt=2.5208154666666664, timeString=02.52, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205041, subwayLine=YUS, stationId=LWW1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=0.27796296296296297, timeString=00.28, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205042, subwayLine=YUS, stationId=LWW1, trainId=104, trainMessage=Delayed, trainDirection=North, timeInt=1.0154814814814814, timeString=01.02, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205043, subwayLine=YUS, stationId=LWW1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=1.5437407407407409, timeString=01.54, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205044, subwayLine=YUS, stationId=GCN1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=0.7222037037037037, timeString=00.72, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205045, subwayLine=YUS, stationId=GCN1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=0.7222037037037037, timeString=00.72, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205046, subwayLine=YUS, stationId=GCN1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=1.6364518518518518, timeString=01.64, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205047, subwayLine=YUS, stationId=EGW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=2.5424081481481484, timeString=02.54, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205048, subwayLine=YUS, stationId=EGW1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=2.5424081481481484, timeString=02.54, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205049, subwayLine=YUS, stationId=EGW1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=3.4566562962962957, timeString=03.46, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205050, subwayLine=YUS, stationId=SCW1, trainId=128, trainMessage=Arriving, trainDirection=North, timeInt=7.241843703703704, timeString=07.24, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205051, subwayLine=YUS, stationId=SCW1, trainId=195, trainMessage=Arriving, trainDirection=North, timeInt=7.241843703703704, timeString=07.24, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
NTASData [id=16595205052, subwayLine=YUS, stationId=SCW1, trainId=129, trainMessage=Arriving, trainDirection=North, timeInt=8.156091851851851, timeString=08.16, trainDestination=FIN1, createDate=Sun Sep 17 12:57:21 EDT 2017, systemMessageType=Normal]
