NTASData [id=16593188709, subwayLine=YUS, stationId=MUS2, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=1.0075333333333334, timeString=01.01, trainDestination=MUS2, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188710, subwayLine=YUS, stationId=MUS2, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=2.0766033333333334, timeString=02.08, trainDestination=MUS1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188711, subwayLine=YUS, stationId=MUS1, trainId=1, trainMessage=Delayed, trainDirection=North, timeInt=0.5635977777777778, timeString=00.56, trainDestination=MUS1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188712, subwayLine=YUS, stationId=MUS1, trainId=121, trainMessage=Arriving, trainDirection=South, timeInt=1.0075333333333334, timeString=01.01, trainDestination=MUS2, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188713, subwayLine=YUS, stationId=MUS1, trainId=108, trainMessage=Arriving, trainDirection=North, timeInt=2.0766033333333334, timeString=02.08, trainDestination=MUS1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188714, subwayLine=YUS, stationId=QPK1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=0.20997333333333332, timeString=00.21, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188715, subwayLine=YUS, stationId=STP1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=1.3607466666666665, timeString=01.36, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188716, subwayLine=YUS, stationId=OSG1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=2.111893333333333, timeString=02.11, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188717, subwayLine=YUS, stationId=STA1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=0.5788377777777778, timeString=00.58, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188718, subwayLine=YUS, stationId=STA1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=2.9457311111111113, timeString=02.95, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188719, subwayLine=YUS, stationId=UNI1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=0.4001911111111111, timeString=00.40, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188720, subwayLine=YUS, stationId=UNI1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=1.4857711111111112, timeString=01.49, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188721, subwayLine=YUS, stationId=UNI1, trainId=107, trainMessage=Arriving, trainDirection=North, timeInt=3.8526644444444447, timeString=03.85, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188722, subwayLine=YUS, stationId=KNG1, trainId=3, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188723, subwayLine=YUS, stationId=KNG1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=1.1950822222222222, timeString=01.20, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188724, subwayLine=YUS, stationId=KNG1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=2.2806622222222224, timeString=02.28, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188725, subwayLine=YUS, stationId=QUN1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=0.8256533333333334, timeString=00.83, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188726, subwayLine=YUS, stationId=QUN1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=2.0207355555555555, timeString=02.02, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188727, subwayLine=YUS, stationId=QUN1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=3.1063155555555557, timeString=03.11, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188728, subwayLine=YUS, stationId=DUN1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=1.5801866666666666, timeString=01.58, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188729, subwayLine=YUS, stationId=DUN1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=2.7752688888888892, timeString=02.78, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188730, subwayLine=YUS, stationId=DUN1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=3.860848888888889, timeString=03.86, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188731, subwayLine=YUS, stationId=COL1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=2.447044444444445, timeString=02.45, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188732, subwayLine=YUS, stationId=COL1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=3.6421266666666665, timeString=03.64, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188733, subwayLine=YUS, stationId=COL1, trainId=106, trainMessage=Arriving, trainDirection=North, timeInt=4.727706666666666, timeString=04.73, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188734, subwayLine=YUS, stationId=WEL1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=0.26754666666666665, timeString=00.27, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188735, subwayLine=YUS, stationId=WEL1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=3.3647022222222223, timeString=03.36, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188736, subwayLine=YUS, stationId=WEL1, trainId=5, trainMessage=Arriving, trainDirection=North, timeInt=4.559784444444444, timeString=04.56, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188737, subwayLine=YUS, stationId=BLO1, trainId=102, trainMessage=AtStation, trainDirection=North, timeInt=0.0, timeString=00.00, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188738, subwayLine=YUS, stationId=BLO1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=1.2218933333333333, timeString=01.22, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188739, subwayLine=YUS, stationId=BLO1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=4.319048888888888, timeString=04.32, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188740, subwayLine=YUS, stationId=ROS1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=1.3285733333333334, timeString=01.33, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188741, subwayLine=YUS, stationId=ROS1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=2.550466666666667, timeString=02.55, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188742, subwayLine=YUS, stationId=ROS1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=5.647622222222223, timeString=05.65, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188743, subwayLine=YUS, stationId=SUM1, trainId=102, trainMessage=Arriving, trainDirection=North, timeInt=2.357991111111111, timeString=02.36, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188744, subwayLine=YUS, stationId=SUM1, trainId=104, trainMessage=Arriving, trainDirection=North, timeInt=3.5798844444444446, timeString=03.58, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
NTASData [id=16593188745, subwayLine=YUS, stationId=SUM1, trainId=3, trainMessage=Arriving, trainDirection=North, timeInt=6.67704, timeString=06.68, trainDestination=FIN1, createDate=Sun Sep 17 10:23:50 EDT 2017, systemMessageType=Normal]
